Region,Notes,Location code,Type of data,Year,Numero de Migrantes,Género
   Vanuatu,0,548,B R,1995.1,1295,Hombres
  Micronesia,0,954,0,1995.1,63046,Hombres
   Guam*,35,316,B,1995.1,38822,Hombres
   Kiribati,0,296,B,1995.1,1139,Hombres
   Marshall Islands,0,584,B,1995.1,916,Hombres
   Micronesia (Fed. States of),0,583,B,1995.1,2119,Hombres
   Nauru,0,520,C R,1995.1,1395,Hombres
   Northern Mariana Islands*,36,580,B,1995.1,15847,Hombres
   Palau,0,585,B,1995.1,2808,Hombres
  Polynesia*,0,957,0,1995.1,35937,Hombres
   American Samoa*,0,16,B,1995.1,12037,Hombres
   Cook Islands*,37,184,B R,1995.1,1497,Hombres
   French Polynesia*,38,258,B R,1995.1,16689,Hombres
   Niue*,39,570,B,1995.1,257,Hombres
   Samoa,0,882,B R,1995.1,2451,Hombres
   Tokelau*,40,772,B R,1995.1,268,Hombres
   Tonga,0,776,B R,1995.1,1718,Hombres
   Tuvalu,0,798,C,1995.1,148,Hombres
   Wallis and Futuna Islands*,41,876,B R,1995.1,872,Hombres
 AFRICA,0,903,0,2000.1,7996691,Hombres
  Eastern Africa,0,910,0,2000.1,2483905,Hombres
   Burundi,0,108,B R,2000.1,61094,Hombres
   Comoros,0,174,B,2000.1,6511,Hombres
   Djibouti,0,262,B R,2000.1,52920,Hombres
   Eritrea,0,232,I R,2000.1,6856,Hombres
   Ethiopia,0,231,B R,2000.1,322219,Hombres
   Kenya,0,404,B R,2000.1,352933,Hombres
   Madagascar,0,450,C R,2000.1,13276,Hombres
   Malawi,0,454,B R,2000.1,111530,Hombres
   Mauritius*,0,480,C,2000.1,5705,Hombres
   Mayotte*,1,175,B R,2000.1,23546,Hombres
   Mozambique,0,508,B R,2000.1,103175,Hombres
   Réunion*,2,638,B,2000.1,52264,Hombres
   Rwanda,0,646,B R,2000.1,175741,Hombres
   Seychelles,0,690,B,2000.1,3837,Hombres
   Somalia,0,706,I R,2000.1,10628,Hombres
   South Sudan,0,728,B R,2000.1,0,Hombres
   Uganda,0,800,B R,2000.1,290859,Hombres
   United Republic of Tanzania*,0,834,B R,2000.1,481816,Hombres
   Zambia,0,894,B R,2000.1,175114,Hombres
   Zimbabwe,0,716,B R,2000.1,233881,Hombres
  Middle Africa,0,911,0,2000.1,915265,Hombres
   Angola,0,24,B R,2000.1,23367,Hombres
   Cameroon,0,120,B R,2000.1,124008,Hombres
   Central African Republic,0,140,C R,2000.1,65636,Hombres
   Chad,0,148,B R,2000.1,56463,Hombres
   Congo,0,178,B R,2000.1,153107,Hombres
   Democratic Republic of the Congo,0,180,B R,2000.1,365092,Hombres
   Equatorial Guinea,0,226,C,2000.1,2394,Hombres
   Gabon,0,266,C R,2000.1,122986,Hombres
   Sao Tome and Principe,0,678,C,2000.1,2212,Hombres
  Northern Africa,0,912,0,2000.1,1056699,Hombres
   Algeria,0,12,B R,2000.1,137158,Hombres
   Egypt,0,818,B R,2000.1,98224,Hombres
   Libya,0,434,C R,2000.1,368950,Hombres
   Morocco,0,504,C R,2000.1,27233,Hombres
   Sudan,3,729,B R,2000.1,404618,Hombres
   Tunisia,0,788,C R,2000.1,18679,Hombres
   Western Sahara,0,732,I,2000.1,1837,Hombres
  Southern Africa,0,913,0,2000.1,745852,Hombres
   Botswana,0,72,B R,2000.1,43840,Hombres
   Eswatini,0,748,B R,2000.1,17921,Hombres
   Lesotho,0,426,C R,2000.1,3335,Hombres
   Namibia,0,516,B R,2000.1,73154,Hombres
   South Africa,0,710,B R,2000.1,607602,Hombres
  Western Africa,0,914,0,2000.1,2794970,Hombres
   Benin,0,204,C B R,2000.1,72190,Hombres
   Burkina Faso,0,854,B R,2000.1,250555,Hombres
   Cabo Verde,0,132,B R,2000.1,5753,Hombres
   Côte d'Ivoire,0,384,C B R,2000.1,1198496,Hombres
   Gambia,0,270,B R,2000.1,97138,Hombres
   Ghana,0,288,B R,2000.1,97279,Hombres
   Guinea,0,324,C B R,2000.1,279108,Hombres
   Guinea-Bissau,0,624,B R,2000.1,10155,Hombres
   Liberia,0,430,B R,2000.1,82129,Hombres
   Mali,0,466,B R,2000.1,97752,Hombres
   Mauritania,0,478,C R,2000.1,31163,Hombres
   Niger,0,562,B R,2000.1,58192,Hombres
   Nigeria,0,566,C R,2000.1,270211,Hombres
   Saint Helena*,4,654,C,2000.1,61,Hombres
   Senegal,0,686,B R,2000.1,121492,Hombres
   Sierra Leone,0,694,B R,2000.1,54184,Hombres
   Togo,0,768,C R,2000.1,69112,Hombres
 ASIA,0,935,0,2000.1,26295146,Hombres
  Central Asia,0,5500,0,2000.1,2327133,Hombres
   Kazakhstan,0,398,B R,2000.1,1323580,Hombres
   Kyrgyzstan,0,417,B R,2000.1,162927,Hombres
   Tajikistan,0,762,B R,2000.1,131653,Hombres
   Turkmenistan,0,795,B R,2000.1,102810,Hombres
   Uzbekistan,0,860,B R,2000.1,606163,Hombres
  Eastern Asia,0,906,0,2000.1,2551537,Hombres
   China*,0,156,C,2000.1,254082,Hombres
"   China, Hong Kong SAR*",0,344,B R,2000.1,1225629,Hombres
"   China, Macao SAR*",0,446,B,2000.1,109391,Hombres
"   China, Taiwan Province of China*",0,158,0,2000.1,0,Hombres
   Dem. People's Republic of Korea,0,408,I,2000.1,17731,Hombres
   Japan,0,392,C,2000.1,796928,Hombres
   Mongolia,0,496,C R,2000.1,4564,Hombres
   Republic of Korea,0,410,C R,2000.1,143212,Hombres
  South-Eastern Asia,0,920,0,2000.1,2614376,Hombres
   Brunei Darussalam,0,96,B,2000.1,53807,Hombres
   Cambodia,0,116,B R,2000.1,71638,Hombres
   Indonesia,0,360,B R,2000.1,153315,Hombres
   Lao People's Democratic Republic,0,418,C R,2000.1,11564,Hombres
   Malaysia*,0,458,C R,2000.1,822679,Hombres
   Myanmar,0,104,C,2000.1,52150,Hombres
   Philippines,0,608,C R,2000.1,161904,Hombres
   Singapore,0,702,B,2000.1,601671,Hombres
   Thailand,0,764,B R,2000.1,647728,Hombres
   Timor-Leste,0,626,B R,2000.1,5095,Hombres
   Viet Nam,0,704,C R,2000.1,32825,Hombres
  Southern Asia,0,5501,0,2000.1,7798733,Hombres
   Afghanistan,0,4,B R,2000.1,42848,Hombres
   Bangladesh,0,50,B R,2000.1,531907,Hombres
   Bhutan,0,64,B,2000.1,26200,Hombres
   India,0,356,B R,2000.1,3303591,Hombres
   Iran (Islamic Republic of),0,364,C R,2000.1,1365390,Hombres
   Maldives,0,462,C,2000.1,14907,Hombres
   Nepal,0,524,B R,2000.1,241959,Hombres
   Pakistan,0,586,B R,2000.1,2249960,Hombres
   Sri Lanka,0,144,B R,2000.1,21971,Hombres
  Western Asia,0,922,0,2000.1,11003367,Hombres
   Armenia,0,51,B R,2000.1,270170,Hombres
   Azerbaijan*,0,31,B R,2000.1,141161,Hombres
   Bahrain,0,48,C R,2000.1,165344,Hombres
   Cyprus*,0,196,B,2000.1,34745,Hombres
   Georgia*,0,268,B R,2000.1,33321,Hombres
   Iraq,0,368,C R,2000.1,120464,Hombres
   Israel,0,376,B R,2000.1,853712,Hombres
   Jordan,0,400,C R,2000.1,982977,Hombres
   Kuwait,0,414,C R,2000.1,761512,Hombres
   Lebanon,0,422,B R,2000.1,353305,Hombres
   Oman,0,512,C R,2000.1,488389,Hombres
   Qatar,0,634,C,2000.1,274242,Hombres
   Saudi Arabia,0,682,C R,2000.1,3517768,Hombres
   State of Palestine*,5,275,B,2000.1,124555,Hombres
   Syrian Arab Republic,0,760,C R,2000.1,427981,Hombres
   Turkey,0,792,B R,2000.1,616007,Hombres
   United Arab Emirates,0,784,C R,2000.1,1757200,Hombres
   Yemen,0,887,C R,2000.1,80514,Hombres
 EUROPE,0,908,0,2000.1,27501320,Hombres
  Eastern Europe,0,923,0,2000.1,9695286,Hombres
   Belarus,0,112,B,2000.1,514593,Hombres
   Bulgaria,0,100,B,2000.1,18238,Hombres
   Czechia,0,203,C,2000.1,119227,Hombres
   Hungary,0,348,B,2000.1,138219,Hombres
   Poland,0,616,B,2000.1,338323,Hombres
   Republic of Moldova*,0,498,B,2000.1,101097,Hombres
   Romania,0,642,B,2000.1,63121,Hombres
   Russian Federation,0,643,B,2000.1,5982851,Hombres
   Slovakia,0,703,B,2000.1,51253,Hombres
   Ukraine*,0,804,B,2000.1,2368364,Hombres
  Northern Europe,0,924,0,2000.1,3711179,Hombres
   Channel Islands*,6,830,B,2000.1,30234,Hombres
   Denmark*,7,208,B,2000.1,179977,Hombres
   Estonia,0,233,B,2000.1,100844,Hombres
   Faroe Islands*,8,234,B,2000.1,1921,Hombres
   Finland*,0,246,B,2000.1,67469,Hombres
   Iceland,0,352,B,2000.1,7207,Hombres
   Ireland,0,372,B,2000.1,172959,Hombres
   Isle of Man*,9,833,B,2000.1,18725,Hombres
   Latvia,0,428,B,2000.1,177632,Hombres
   Lithuania,0,440,B,2000.1,100546,Hombres
   Norway*,0,578,B,2000.1,144826,Hombres
   Sweden,0,752,B,2000.1,480211,Hombres
   United Kingdom*,10,826,B,2000.1,2228628,Hombres
  Southern Europe,0,925,0,2000.1,3688926,Hombres
   Albania,0,8,B,2000.1,35990,Hombres
   Andorra,0,20,C,2000.1,22093,Hombres
   Bosnia and Herzegovina,0,70,I R,2000.1,39691,Hombres
   Croatia,0,191,B,2000.1,274823,Hombres
   Gibraltar*,11,292,B,2000.1,3865,Hombres
   Greece,0,300,B,2000.1,559794,Hombres
   Holy See*,0,336,I,2000.1,379,Hombres
   Italy,0,380,B,2000.1,976691,Hombres
   Malta,0,470,B,2000.1,10289,Hombres
   Montenegro,0,499,B,2000.1,0,Hombres
   North Macedonia,0,807,B,2000.1,52385,Hombres
   Portugal,0,620,B,2000.1,320319,Hombres
   San Marino,0,674,C,2000.1,2175,Hombres
   Serbia*,0,688,B,2000.1,437602,Hombres
   Slovenia,0,705,B,2000.1,114772,Hombres
   Spain*,0,724,B,2000.1,838058,Hombres
  Western Europe,0,926,0,2000.1,10405929,Hombres
   Austria,0,40,B,2000.1,478318,Hombres
   Belgium,0,56,B,2000.1,636275,Hombres
   France*,12,250,B,2000.1,3092789,Hombres
   Germany,0,276,B,2000.1,4503666,Hombres
   Liechtenstein,0,438,B,2000.1,7980,Hombres
   Luxembourg,0,442,B,2000.1,69286,Hombres
   Monaco,0,492,B,2000.1,10458,Hombres
   Netherlands*,13,528,B,2000.1,765302,Hombres
   Switzerland,0,756,B,2000.1,841855,Hombres
 LATIN AMERICA AND THE CARIBBEAN,0,904,0,2000.1,3266229,Hombres
  Caribbean,0,915,0,2000.1,627683,Hombres
   Anguilla*,14,660,B R,2000.1,1910,Hombres
   Antigua and Barbuda,0,28,B R,2000.1,10316,Hombres
   Aruba*,15,533,B R,2000.1,13519,Hombres
   Bahamas,0,44,B R,2000.1,19414,Hombres
   Barbados,0,52,B R,2000.1,12405,Hombres
"   Bonaire, Sint Eustatius and Saba*",16,535,B,2000.1,0,Hombres
   British Virgin Islands*,18,92,B R,2000.1,6386,Hombres
   Cayman Islands*,19,136,C R,2000.1,9671,Hombres
   Cuba,0,192,B,2000.1,8212,Hombres
   Curaçao*,20,531,B R,2000.1,0,Hombres
   Dominica,0,212,B,2000.1,1955,Hombres
   Dominican Republic,0,214,B R,2000.1,216008,Hombres
   Grenada,0,308,B,2000.1,3386,Hombres
   Guadeloupe*,21,312,B,2000.1,39778,Hombres
   Haiti,0,332,B R,2000.1,9572,Hombres
   Jamaica,0,388,B R,2000.1,12503,Hombres
   Martinique*,22,474,B R,2000.1,25451,Hombres
   Montserrat*,23,500,B,2000.1,622,Hombres
   Puerto Rico*,24,630,B,2000.1,168480,Hombres
   Saint Barthélemy*,0,652,0,2000.1,0,Hombres
   Saint Kitts and Nevis,0,659,B R,2000.1,3068,Hombres
   Saint Lucia,0,662,B R,2000.1,4960,Hombres
   Saint Martin (French part)*,0,663,0,2000.1,0,Hombres
   Saint Vincent and the Grenadines,0,670,B R,2000.1,2099,Hombres
   Sint Maarten (Dutch part)*,25,534,B R,2000.1,0,Hombres
   Trinidad and Tobago,0,780,B R,2000.1,19288,Hombres
   Turks and Caicos Islands*,26,796,B R,2000.1,4665,Hombres
   United States Virgin Islands*,27,850,B,2000.1,26730,Hombres
  Central America,0,916,0,2000.1,554886,Hombres
   Belize,0,84,B R ,2000.1,18631,Hombres
   Costa Rica,0,188,B R,2000.1,156798,Hombres
   El Salvador,0,222,B R,2000.1,14909,Hombres
   Guatemala,0,320,B R,2000.1,21211,Hombres
   Honduras,0,340,B R,2000.1,14581,Hombres
   Mexico,0,484,B R,2000.1,270896,Hombres
   Nicaragua,0,558,B R,2000.1,15423,Hombres
   Panama,0,591,B R,2000.1,42437,Hombres
  South America,0,931,0,2000.1,2083660,Hombres
   Argentina,0,32,B R,2000.1,717924,Hombres
   Bolivia (Plurinational State of),0,68,B R,2000.1,47665,Hombres
   Brazil,0,76,B R,2000.1,366156,Hombres
   Chile,0,152,B,2000.1,84717,Hombres
   Colombia,0,170,B,2000.1,56223,Hombres
   Ecuador,0,218,B R,2000.1,77227,Hombres
   Falkland Islands (Malvinas)*,28,238,B,2000.1,636,Hombres
   French Guiana*,29,254,B R,2000.1,38895,Hombres
   Guyana,0,328,B R,2000.1,4611,Hombres
   Paraguay,0,600,B R,2000.1,92052,Hombres
   Peru,0,604,B R,2000.1,32839,Hombres
   Suriname,0,740,C R,2000.1,14938,Hombres
   Uruguay,0,858,B R,2000.1,41095,Hombres
   Venezuela (Bolivarian Republic of),0,862,B R,2000.1,508682,Hombres
 NORTHERN AMERICA,0,905,0,2000.1,19983832,Hombres
   Bermuda*,30,60,B,2000.1,8540,Hombres
   Canada,0,124,B,2000.1,2659135,Hombres
   Greenland*,31,304,B,2000.1,4616,Hombres
   Saint Pierre and Miquelon*,32,666,B,2000.1,756,Hombres
   United States of America*,33,840,B,2000.1,17310785,Hombres
 OCEANIA ,0,909,0,2000.1,2676615,Hombres
  Australia and New Zealand,0,927,0,2000.1,2519827,Hombres
   Australia*,0,36,B,2000.1,2189900,Hombres
   New Zealand*,34,554,B,2000.1,329927,Hombres
  Melanesia,0,928,0,2000.1,52951,Hombres
   Fiji,0,242,B R,2000.1,6601,Hombres
   New Caledonia*,0,540,B,2000.1,26932,Hombres
   Papua New Guinea,0,598,C R,2000.1,15874,Hombres
   Solomon Islands,0,90,B R,2000.1,2224,Hombres
   Vanuatu,0,548,B R,2000.1,1320,Hombres
  Micronesia,0,954,0,2000.1,64928,Hombres
   Guam*,35,316,B,2000.1,38280,Hombres
   Kiribati,0,296,B,2000.1,1188,Hombres
   Marshall Islands,0,584,B,2000.1,1164,Hombres
   Micronesia (Fed. States of),0,583,B,2000.1,1721,Hombres
   Nauru,0,520,C R,2000.1,1283,Hombres
   Northern Mariana Islands*,36,580,B,2000.1,17387,Hombres
   Palau,0,585,B,2000.1,3905,Hombres
  Polynesia*,0,957,0,2000.1,38909,Hombres
   American Samoa*,0,16,B,2000.1,12898,Hombres
   Cook Islands*,37,184,B R,2000.1,1552,Hombres
   French Polynesia*,38,258,B R,2000.1,17604,Hombres
   Niue*,39,570,B,2000.1,268,Hombres
   Samoa,0,882,B R,2000.1,3101,Hombres
   Tokelau*,40,772,B R,2000.1,366,Hombres
   Tonga,0,776,B R,2000.1,1981,Hombres
   Tuvalu,0,798,C,2000.1,121,Hombres
   Wallis and Futuna Islands*,41,876,B R,2000.1,1018,Hombres
 AFRICA,0,903,0,2005.1,8703290,Hombres
  Eastern Africa,0,910,0,2005.1,2548491,Hombres
   Burundi,0,108,B R,2005.1,94413,Hombres
   Comoros,0,174,B,2005.1,6286,Hombres
   Djibouti,0,262,B R,2005.1,51331,Hombres
   Eritrea,0,232,I R,2005.1,8603,Hombres
   Ethiopia,0,231,B R,2005.1,269834,Hombres
   Kenya,0,404,B R,2005.1,400364,Hombres
   Madagascar,0,450,C R,2005.1,14744,Hombres
   Malawi,0,454,B R,2005.1,105931,Hombres
   Mauritius*,0,480,C,2005.1,8943,Hombres
   Mayotte*,1,175,B R,2005.1,31364,Hombres
   Mozambique,0,508,B R,2005.1,130290,Hombres
   Réunion*,2,638,B,2005.1,59196,Hombres
   Rwanda,0,646,B R,2005.1,213279,Hombres
   Seychelles,0,690,B,2005.1,5820,Hombres
   Somalia,0,706,I R,2005.1,11098,Hombres
   South Sudan,0,728,B R,2005.1,0,Hombres
   Uganda,0,800,B R,2005.1,292130,Hombres
   United Republic of Tanzania*,0,834,B R,2005.1,486983,Hombres
   Zambia,0,894,B R,2005.1,128628,Hombres
   Zimbabwe,0,716,B R,2005.1,229254,Hombres
  Middle Africa,0,911,0,2005.1,1003895,Hombres
   Angola,0,24,B R,2005.1,30736,Hombres
   Cameroon,0,120,B R,2005.1,146129,Hombres
   Central African Republic,0,140,C R,2005.1,51299,Hombres
   Chad,0,148,B R,2005.1,159745,Hombres
   Congo,0,178,B R,2005.1,173229,Hombres
   Democratic Republic of the Congo,0,180,B R,2005.1,302359,Hombres
   Equatorial Guinea,0,226,C,2005.1,3564,Hombres
   Gabon,0,266,C R,2005.1,135107,Hombres
   Sao Tome and Principe,0,678,C,2005.1,1727,Hombres
  Northern Africa,0,912,0,2005.1,1046124,Hombres
   Algeria,0,12,B R,2005.1,108434,Hombres
   Egypt,0,818,B R,2005.1,165211,Hombres
   Libya,0,434,C R,2005.1,445685,Hombres
   Morocco,0,504,C R,2005.1,28486,Hombres
   Sudan,3,729,B R,2005.1,278084,Hombres
   Tunisia,0,788,C R,2005.1,18000,Hombres
   Western Sahara,0,732,I,2005.1,2224,Hombres
  Southern Africa,0,913,0,2005.1,909827,Hombres
   Botswana,0,72,B R,2005.1,49159,Hombres
   Eswatini,0,748,B R,2005.1,17369,Hombres
   Lesotho,0,426,C R,2005.1,3402,Hombres
   Namibia,0,516,B R,2005.1,57625,Hombres
   South Africa,0,710,B R,2005.1,782272,Hombres
  Western Africa,0,914,0,2005.1,3194953,Hombres
   Benin,0,204,C B R,2005.1,122368,Hombres
   Burkina Faso,0,854,B R,2005.1,285871,Hombres
   Cabo Verde,0,132,B R,2005.1,6523,Hombres
   Côte d'Ivoire,0,384,C B R,2005.1,1254690,Hombres
   Gambia,0,270,B R,2005.1,96196,Hombres
   Ghana,0,288,B R,2005.1,159527,Hombres
   Guinea,0,324,C B R,2005.1,113528,Hombres
   Guinea-Bissau,0,624,B R,2005.1,10380,Hombres
   Liberia,0,430,B R,2005.1,51197,Hombres
   Mali,0,466,B R,2005.1,133344,Hombres
   Mauritania,0,478,C R,2005.1,32642,Hombres
   Niger,0,562,B R,2005.1,59194,Hombres
   Nigeria,0,566,C R,2005.1,564612,Hombres
   Saint Helena*,4,654,C,2005.1,85,Hombres
   Senegal,0,686,B R,2005.1,124854,Hombres
   Sierra Leone,0,694,B R,2005.1,76709,Hombres
   Togo,0,768,C R,2005.1,103233,Hombres
 ASIA,0,935,0,2005.1,29083644,Hombres
  Central Asia,0,5500,0,2005.1,2413191,Hombres
   Kazakhstan,0,398,B R,2005.1,1472820,Hombres
   Kyrgyzstan,0,417,B R,2005.1,128064,Hombres
   Tajikistan,0,762,B R,2005.1,121403,Hombres
   Turkmenistan,0,795,B R,2005.1,101214,Hombres
   Uzbekistan,0,860,B R,2005.1,589690,Hombres
  Eastern Asia,0,906,0,2005.1,2938257,Hombres
   China*,0,156,C,2005.1,379920,Hombres
"   China, Hong Kong SAR*",0,344,B R,2005.1,1185121,Hombres
"   China, Macao SAR*",0,446,B,2005.1,130387,Hombres
"   China, Taiwan Province of China*",0,158,0,2005.1,0,Hombres
   Dem. People's Republic of Korea,0,408,I,2005.1,19749,Hombres
   Japan,0,392,C,2005.1,931198,Hombres
   Mongolia,0,496,C R,2005.1,7577,Hombres
   Republic of Korea,0,410,C R,2005.1,284305,Hombres
  South-Eastern Asia,0,920,0,2005.1,3497791,Hombres
   Brunei Darussalam,0,96,B,2005.1,55265,Hombres
   Cambodia,0,116,B R,2005.1,57545,Hombres
   Indonesia,0,360,B R,2005.1,165287,Hombres
   Lao People's Democratic Republic,0,418,C R,2005.1,10930,Hombres
   Malaysia*,0,458,C R,2005.1,1133541,Hombres
   Myanmar,0,104,C,2005.1,44506,Hombres
   Philippines,0,608,C R,2005.1,133023,Hombres
   Singapore,0,702,B,2005.1,758762,Hombres
   Thailand,0,764,B R,2005.1,1102248,Hombres
   Timor-Leste,0,626,B R,2005.1,5578,Hombres
   Viet Nam,0,704,C R,2005.1,31106,Hombres
  Southern Asia,0,5501,0,2005.1,6981986,Hombres
   Afghanistan,0,4,B R,2005.1,49281,Hombres
   Bangladesh,0,50,B R,2005.1,572146,Hombres
   Bhutan,0,64,B,2005.1,32742,Hombres
   India,0,356,B R,2005.1,2931489,Hombres
   Iran (Islamic Republic of),0,364,C R,2005.1,1401736,Hombres
   Maldives,0,462,C,2005.1,27079,Hombres
   Nepal,0,524,B R,2005.1,235852,Hombres
   Pakistan,0,586,B R,2005.1,1710343,Hombres
   Sri Lanka,0,144,B R,2005.1,21318,Hombres
  Western Asia,0,922,0,2005.1,13252419,Hombres
   Armenia,0,51,B R,2005.1,191432,Hombres
   Azerbaijan*,0,31,B R,2005.1,135143,Hombres
   Bahrain,0,48,C R,2005.1,288614,Hombres
   Cyprus*,0,196,B,2005.1,53532,Hombres
   Georgia*,0,268,B R,2005.1,31215,Hombres
   Iraq,0,368,C R,2005.1,81877,Hombres
   Israel,0,376,B R,2005.1,867805,Hombres
   Jordan,0,400,C R,2005.1,1119171,Hombres
   Kuwait,0,414,C R,2005.1,918718,Hombres
   Lebanon,0,422,B R,2005.1,382830,Hombres
   Oman,0,512,C R,2005.1,527845,Hombres
   Qatar,0,634,C,2005.1,498428,Hombres
   Saudi Arabia,0,682,C R,2005.1,4469805,Hombres
   State of Palestine*,5,275,B,2005.1,124608,Hombres
   Syrian Arab Republic,0,760,C R,2005.1,452524,Hombres
   Turkey,0,792,B R,2005.1,621694,Hombres
   United Arab Emirates,0,784,C R,2005.1,2388299,Hombres
   Yemen,0,887,C R,2005.1,98879,Hombres
 EUROPE,0,908,0,2005.1,30770997,Hombres
  Eastern Europe,0,923,0,2005.1,9358006,Hombres
   Belarus,0,112,B,2005.1,506988,Hombres
   Bulgaria,0,100,B,2005.1,26594,Hombres
   Czechia,0,203,C,2005.1,181719,Hombres
   Hungary,0,348,B,2005.1,174216,Hombres
   Poland,0,616,B,2005.1,297039,Hombres
   Republic of Moldova*,0,498,B,2005.1,67924,Hombres
   Romania,0,642,B,2005.1,70153,Hombres
   Russian Federation,0,643,B,2005.1,5806597,Hombres
   Slovakia,0,703,B,2005.1,58716,Hombres
   Ukraine*,0,804,B,2005.1,2168060,Hombres
  Northern Europe,0,924,0,2005.1,4564413,Hombres
   Channel Islands*,6,830,B,2005.1,33611,Hombres
   Denmark*,7,208,B,2005.1,213097,Hombres
   Estonia,0,233,B,2005.1,94244,Hombres
   Faroe Islands*,8,234,B,2005.1,2450,Hombres
   Finland*,0,246,B,2005.1,96429,Hombres
   Iceland,0,352,B,2005.1,12413,Hombres
   Ireland,0,372,B,2005.1,309910,Hombres
   Isle of Man*,9,833,B,2005.1,20214,Hombres
   Latvia,0,428,B,2005.1,154745,Hombres
   Lithuania,0,440,B,2005.1,94189,Hombres
   Norway*,0,578,B,2005.1,176444,Hombres
   Sweden,0,752,B,2005.1,538490,Hombres
   United Kingdom*,10,826,B,2005.1,2818177,Hombres
  Southern Europe,0,925,0,2005.1,5851155,Hombres
   Albania,0,8,B,2005.1,32993,Hombres
   Andorra,0,20,C,2005.1,26466,Hombres
   Bosnia and Herzegovina,0,70,I R,2005.1,22481,Hombres
   Croatia,0,191,B,2005.1,271645,Hombres
   Gibraltar*,11,292,B,2005.1,4518,Hombres
   Greece,0,300,B,2005.1,587677,Hombres
   Holy See*,0,336,I,2005.1,381,Hombres
   Italy,0,380,B,2005.1,1820290,Hombres
   Malta,0,470,B,2005.1,11899,Hombres
   Montenegro,0,499,B,2005.1,0,Hombres
   North Macedonia,0,807,B,2005.1,53220,Hombres
   Portugal,0,620,B,2005.1,376774,Hombres
   San Marino,0,674,C,2005.1,2302,Hombres
   Serbia*,0,688,B,2005.1,383088,Hombres
   Slovenia,0,705,B,2005.1,116741,Hombres
   Spain*,0,724,B,2005.1,2140680,Hombres
  Western Europe,0,926,0,2005.1,10997423,Hombres
   Austria,0,40,B,2005.1,538924,Hombres
   Belgium,0,56,B,2005.1,620924,Hombres
   France*,12,250,B,2005.1,3300859,Hombres
   Germany,0,276,B,2005.1,4676178,Hombres
   Liechtenstein,0,438,B,2005.1,9434,Hombres
   Luxembourg,0,442,B,2005.1,74951,Hombres
   Monaco,0,492,B,2005.1,10322,Hombres
   Netherlands*,13,528,B,2005.1,843444,Hombres
   Switzerland,0,756,B,2005.1,922387,Hombres
 LATIN AMERICA AND THE CARIBBEAN,0,904,0,2005.1,3572498,Hombres
  Caribbean,0,915,0,2005.1,656072,Hombres
   Anguilla*,14,660,B R,2005.1,2210,Hombres
   Antigua and Barbuda,0,28,B R,2005.1,11052,Hombres
   Aruba*,15,533,B R,2005.1,14559,Hombres
   Bahamas,0,44,B R,2005.1,23613,Hombres
   Barbados,0,52,B R,2005.1,13575,Hombres
"   Bonaire, Sint Eustatius and Saba*",16,535,B,2005.1,0,Hombres
   British Virgin Islands*,18,92,B R,2005.1,7401,Hombres
   Cayman Islands*,19,136,C R,2005.1,10515,Hombres
   Cuba,0,192,B,2005.1,5152,Hombres
   Curaçao*,20,531,B R,2005.1,0,Hombres
   Dominica,0,212,B,2005.1,2491,Hombres
   Dominican Republic,0,214,B R,2005.1,227826,Hombres
   Grenada,0,308,B,2005.1,3424,Hombres
   Guadeloupe*,21,312,B,2005.1,41273,Hombres
   Haiti,0,332,B R,2005.1,9093,Hombres
   Jamaica,0,388,B R,2005.1,12248,Hombres
   Martinique*,22,474,B R,2005.1,25891,Hombres
   Montserrat*,23,500,B,2005.1,639,Hombres
   Puerto Rico*,24,630,B,2005.1,166780,Hombres
   Saint Barthélemy*,0,652,0,2005.1,0,Hombres
   Saint Kitts and Nevis,0,659,B R,2005.1,3501,Hombres
   Saint Lucia,0,662,B R,2005.1,4841,Hombres
   Saint Martin (French part)*,0,663,0,2005.1,0,Hombres
   Saint Vincent and the Grenadines,0,670,B R,2005.1,2198,Hombres
   Sint Maarten (Dutch part)*,25,534,B R,2005.1,6285,Hombres
   Trinidad and Tobago,0,780,B R,2005.1,20647,Hombres
   Turks and Caicos Islands*,26,796,B R,2005.1,6787,Hombres
   United States Virgin Islands*,27,850,B,2005.1,26726,Hombres
  Central America,0,916,0,2005.1,688185,Hombres
   Belize,0,84,B R ,2005.1,21052,Hombres
   Costa Rica,0,188,B R,2005.1,176445,Hombres
   El Salvador,0,222,B R,2005.1,17034,Hombres
   Guatemala,0,320,B R,2005.1,26048,Hombres
   Honduras,0,340,B R,2005.1,14476,Hombres
   Mexico,0,484,B R,2005.1,359724,Hombres
   Nicaragua,0,558,B R,2005.1,17774,Hombres
   Panama,0,591,B R,2005.1,55632,Hombres
  South America,0,931,0,2005.1,2228241,Hombres
   Argentina,0,32,B R,2005.1,775308,Hombres
   Bolivia (Plurinational State of),0,68,B R,2005.1,56019,Hombres
   Brazil,0,76,B R,2005.1,343019,Hombres
   Chile,0,152,B,2005.1,131414,Hombres
   Colombia,0,170,B,2005.1,54938,Hombres
   Ecuador,0,218,B R,2005.1,97472,Hombres
   Falkland Islands (Malvinas)*,28,238,B,2005.1,675,Hombres
   French Guiana*,29,254,B R,2005.1,42729,Hombres
   Guyana,0,328,B R,2005.1,5817,Hombres
   Paraguay,0,600,B R,2005.1,87698,Hombres
   Peru,0,604,B R,2005.1,38959,Hombres
   Suriname,0,740,C R,2005.1,18338,Hombres
