País,Código de ubicación,Año,Numero de Migrantes
   Finland*,246,2015,49.4
   Iceland,352,2015,51.2
   Ireland,372,2015,50.4
   Isle of Man*,833,2015,51.2
   Latvia,428,2015,60.8
   Lithuania,440,2015,57.7
   Norway*,578,2015,47.8
   Sweden,752,2015,50.9
   United Kingdom*,826,2015,52.2
   Albania,8,2015,49.0
   Andorra,20,2015,49.2
   Bosnia and Herzegovina,70,2015,52.3
   Croatia,191,2015,53.6
   Gibraltar*,292,2015,49.5
   Greece,300,2015,54.1
   Holy See*,336,2015,52.4
   Italy,380,2015,54.6
   Malta,470,2015,46.2
   Montenegro,499,2015,60.7
   North Macedonia,807,2015,58.3
   Portugal,620,2015,53.9
   San Marino,674,2015,44.8
   Serbia*,688,2015,56.0
   Slovenia,705,2015,43.4
   Spain*,724,2015,51.0
   Austria,40,2015,51.8
   Belgium,56,2015,51.2
   France*,250,2015,51.7
   Germany,276,2015,50.7
   Liechtenstein,438,2015,51.2
   Luxembourg,442,2015,49.3
   Monaco,492,2015,51.5
   Netherlands*,528,2015,52.3
   Switzerland,756,2015,51.1
   Anguilla*,660,2015,52.6
   Antigua and Barbuda,28,2015,55.4
   Aruba*,533,2015,55.4
   Bahamas,44,2015,49.4
   Barbados,52,2015,55.1
"   Bonaire, Sint Eustatius and Saba*",535,2015,0.0
   British Virgin Islands*,92,2015,51.8
   Cayman Islands*,136,2015,48.8
   Cuba,192,2015,56.4
   Curaçao*,531,2015,58.9
   Dominica,212,2015,47.9
   Dominican Republic,214,2015,35.7
   Grenada,308,2015,50.4
   Guadeloupe*,312,2015,57.5
   Haiti,332,2015,44.4
   Jamaica,388,2015,49.2
   Martinique*,474,2015,57.5
   Montserrat*,500,2015,48.5
   Puerto Rico*,630,2015,53.3
   Saint Barthélemy*,652,2015,0.0
   Saint Kitts and Nevis,659,2015,47.4
   Saint Lucia,662,2015,51.8
   Saint Martin (French part)*,663,2015,0.0
   Saint Vincent and the Grenadines,670,2015,49.2
   Sint Maarten (Dutch part)*,534,2015,52.1
   Trinidad and Tobago,780,2015,51.1
   Turks and Caicos Islands*,796,2015,48.3
   United States Virgin Islands*,850,2015,52.9
   Belize,84,2015,49.7
   Costa Rica,188,2015,52.0
   El Salvador,222,2015,52.4
   Guatemala,320,2015,52.3
   Honduras,340,2015,47.5
   Mexico,484,2015,49.9
   Nicaragua,558,2015,48.5
   Panama,591,2015,48.7
   Argentina,32,2015,54.0
   Bolivia (Plurinational State of),68,2015,47.6
   Brazil,76,2015,46.0
   Chile,152,2015,50.0
   Colombia,170,2015,46.6
   Ecuador,218,2015,48.3
   Falkland Islands (Malvinas)*,238,2015,44.4
   French Guiana*,254,2015,52.5
   Guyana,328,2015,44.6
   Paraguay,600,2015,48.0
   Peru,604,2015,41.1
   Suriname,740,2015,45.4
   Uruguay,858,2015,54.8
   Venezuela (Bolivarian Republic of),862,2015,49.9
   Bermuda*,60,2015,51.0
   Canada,124,2015,52.4
   Greenland*,304,2015,34.2
   Saint Pierre and Miquelon*,666,2015,47.7
   United States of America*,840,2015,51.3
   Australia*,36,2015,50.3
   New Zealand*,554,2015,51.6
   Fiji,242,2015,46.0
   New Caledonia*,540,2015,47.5
   Papua New Guinea,598,2015,39.5
   Solomon Islands,90,2015,43.9
   Vanuatu,548,2015,50.3
   Guam*,316,2015,48.4
   Kiribati,296,2015,47.3
   Marshall Islands,584,2015,38.8
   Micronesia (Fed. States of),583,2015,46.6
   Nauru,520,2015,43.4
   Northern Mariana Islands*,580,2015,58.0
   Palau,585,2015,39.3
   American Samoa*,16,2015,49.0
   Cook Islands*,184,2015,49.9
   French Polynesia*,258,2015,43.0
   Niue*,570,2015,45.7
   Samoa,882,2015,49.4
   Tokelau*,772,2015,52.4
   Tonga,776,2015,45.4
   Tuvalu,798,2015,45.2
   Wallis and Futuna Islands*,876,2015,49.5
   Burundi,108,2020,50.7
   Comoros,174,2020,51.6
   Djibouti,262,2020,47.5
   Eritrea,232,2020,43.9
   Ethiopia,231,2020,50.5
   Kenya,404,2020,49.5
   Madagascar,450,2020,43.0
   Malawi,454,2020,51.1
   Mauritius*,480,2020,44.6
   Mayotte*,175,2020,53.7
   Mozambique,508,2020,51.2
   Réunion*,638,2020,49.3
   Rwanda,646,2020,49.4
   Seychelles,690,2020,30.0
   Somalia,706,2020,44.9
   South Sudan,728,2020,49.7
   Uganda,800,2020,51.9
   United Republic of Tanzania*,834,2020,50.0
   Zambia,894,2020,48.1
   Zimbabwe,716,2020,43.2
   Angola,24,2020,49.5
   Cameroon,120,2020,50.6
   Central African Republic,140,2020,47.6
   Chad,148,2020,54.4
   Congo,178,2020,45.5
   Democratic Republic of the Congo,180,2020,51.8
   Equatorial Guinea,226,2020,22.9
   Gabon,266,2020,35.7
   Sao Tome and Principe,678,2020,50.1
   Algeria,12,2020,47.2
   Egypt,818,2020,46.8
   Libya,434,2020,28.2
   Morocco,504,2020,48.5
   Sudan,729,2020,50.3
   Tunisia,788,2020,47.7
   Western Sahara,732,2020,40.9
   Botswana,72,2020,43.0
   Eswatini,748,2020,48.5
   Lesotho,426,2020,45.8
   Namibia,516,2020,46.0
   South Africa,710,2020,43.1
   Benin,204,2020,52.9
   Burkina Faso,854,2020,52.4
   Cabo Verde,132,2020,49.4
   Côte d'Ivoire,384,2020,44.6
   Gambia,270,2020,47.2
   Ghana,288,2020,46.6
   Guinea,324,2020,41.2
   Guinea-Bissau,624,2020,50.6
   Liberia,430,2020,42.4
   Mali,466,2020,49.3
   Mauritania,478,2020,43.4
   Niger,562,2020,53.5
   Nigeria,566,2020,45.5
   Saint Helena*,654,2020,30.0
   Senegal,686,2020,47.0
   Sierra Leone,694,2020,43.4
   Togo,768,2020,49.3
   Kazakhstan,398,2020,50.4
   Kyrgyzstan,417,2020,59.6
   Tajikistan,762,2020,56.8
   Turkmenistan,795,2020,52.6
   Uzbekistan,860,2020,53.2
   China*,156,2020,38.6
"   China, Hong Kong SAR*",344,2020,62.6
"   China, Macao SAR*",446,2020,53.6
"   China, Taiwan Province of China*",158,2020,0.0
   Dem. People's Republic of Korea,408,2020,50.2
   Japan,392,2020,51.4
   Mongolia,496,2020,33.2
   Republic of Korea,410,2020,44.5
   Brunei Darussalam,96,2020,43.4
   Cambodia,116,2020,46.1
   Indonesia,360,2020,41.9
   Lao People's Democratic Republic,418,2020,35.6
   Malaysia*,458,2020,38.0
   Myanmar,104,2020,45.2
   Philippines,608,2020,48.1
   Singapore,702,2020,55.9
   Thailand,764,2020,49.8
   Timor-Leste,626,2020,39.6
   Viet Nam,704,2020,42.1
   Afghanistan,4,2020,52.0
   Bangladesh,50,2020,48.3
   Bhutan,64,2020,15.1
   India,356,2020,53.4
   Iran (Islamic Republic of),364,2020,45.7
   Maldives,462,2020,12.3
   Nepal,524,2020,69.9
   Pakistan,586,2020,44.7
   Sri Lanka,144,2020,47.3
   Armenia,51,2020,59.0
   Azerbaijan*,31,2020,52.0
   Bahrain,48,2020,25.8
   Cyprus*,196,2020,55.0
   Georgia*,268,2020,56.1
   Iraq,368,2020,44.9
   Israel,376,2020,54.6
   Jordan,400,2020,49.2
   Kuwait,414,2020,33.7
   Lebanon,422,2020,51.0
   Oman,512,2020,16.4
   Qatar,634,2020,17.2
   Saudi Arabia,682,2020,31.4
   State of Palestine*,275,2020,54.3
   Syrian Arab Republic,760,2020,50.2
   Turkey,792,2020,48.4
   United Arab Emirates,784,2020,26.3
   Yemen,887,2020,42.3
   Belarus,112,2020,54.2
   Bulgaria,100,2020,50.3
   Czechia,203,2020,42.1
   Hungary,348,2020,48.2
   Poland,616,2020,52.2
   Republic of Moldova*,498,2020,59.1
   Romania,642,2020,45.1
   Russian Federation,643,2020,50.9
   Slovakia,703,2020,49.0
   Ukraine*,804,2020,57.0
   Channel Islands*,830,2020,52.2
   Denmark*,208,2020,50.6
   Estonia,233,2020,56.5
   Faroe Islands*,234,2020,48.0
   Finland*,246,2020,48.5
   Iceland,352,2020,45.4
   Ireland,372,2020,50.1
   Isle of Man*,833,2020,51.2
   Latvia,428,2020,59.5
   Lithuania,440,2020,49.6
   Norway*,578,2020,48.5
   Sweden,752,2020,49.7
   United Kingdom*,826,2020,52.3
   Albania,8,2020,49.0
   Andorra,20,2020,48.8
   Bosnia and Herzegovina,70,2020,53.2
   Croatia,191,2020,53.5
   Gibraltar*,292,2020,49.5
   Greece,300,2020,52.1
   Holy See*,336,2020,54.0
   Italy,380,2020,53.6
   Malta,470,2020,42.4
   Montenegro,499,2020,60.6
   North Macedonia,807,2020,58.3
   Portugal,620,2020,52.1
   San Marino,674,2020,46.0
   Serbia*,688,2020,56.0
   Slovenia,705,2020,41.4
   Spain*,724,2020,52.2
   Austria,40,2020,51.2
   Belgium,56,2020,50.9
   France*,250,2020,51.5
   Germany,276,2020,49.9
   Liechtenstein,438,2020,51.2
   Luxembourg,442,2020,49.1
   Monaco,492,2020,51.5
   Netherlands*,528,2020,51.9
   Switzerland,756,2020,50.9
   Anguilla*,660,2020,52.7
   Antigua and Barbuda,28,2020,55.4
   Aruba*,533,2020,54.6
   Bahamas,44,2020,49.4
   Barbados,52,2020,55.1
"   Bonaire, Sint Eustatius and Saba*",535,2020,0.0
   British Virgin Islands*,92,2020,51.8
   Cayman Islands*,136,2020,48.6
   Cuba,192,2020,56.6
   Curaçao*,531,2020,56.4
   Dominica,212,2020,47.9
   Dominican Republic,214,2020,36.6
   Grenada,308,2020,54.4
   Guadeloupe*,312,2020,58.0
   Haiti,332,2020,44.4
   Jamaica,388,2020,49.2
   Martinique*,474,2020,57.5
   Montserrat*,500,2020,48.4
   Puerto Rico*,630,2020,53.5
   Saint Barthélemy*,652,2020,0.0
   Saint Kitts and Nevis,659,2020,47.4
   Saint Lucia,662,2020,52.0
   Saint Martin (French part)*,663,2020,0.0
   Saint Vincent and the Grenadines,670,2020,48.4
   Sint Maarten (Dutch part)*,534,2020,52.1
   Trinidad and Tobago,780,2020,50.3
   Turks and Caicos Islands*,796,2020,48.2
   United States Virgin Islands*,850,2020,52.9
   Belize,84,2020,49.7
   Costa Rica,188,2020,49.4
   El Salvador,222,2020,52.4
   Guatemala,320,2020,52.7
   Honduras,340,2020,47.5
   Mexico,484,2020,49.8
   Nicaragua,558,2020,48.6
   Panama,591,2020,46.7
   Argentina,32,2020,53.4
   Bolivia (Plurinational State of),68,2020,47.6
   Brazil,76,2020,46.0
   Chile,152,2020,49.5
   Colombia,170,2020,49.9
   Ecuador,218,2020,48.2
   Falkland Islands (Malvinas)*,238,2020,44.4
   French Guiana*,254,2020,52.5
   Guyana,328,2020,53.5
   Paraguay,600,2020,47.9
   Peru,604,2020,47.5
   Suriname,740,2020,45.0
   Uruguay,858,2020,53.0
   Venezuela (Bolivarian Republic of),862,2020,50.7
   Bermuda*,60,2020,50.7
   Canada,124,2020,52.4
   Greenland*,304,2020,35.2
   Saint Pierre and Miquelon*,666,2020,47.6
   United States of America*,840,2020,51.7
   Australia*,36,2020,50.4
   New Zealand*,554,2020,51.6
   Fiji,242,2020,46.0
   New Caledonia*,540,2020,47.7
   Papua New Guinea,598,2020,39.2
   Solomon Islands,90,2020,43.8
   Vanuatu,548,2020,50.3
   Guam*,316,2020,48.4
   Kiribati,296,2020,47.2
   Marshall Islands,584,2020,38.7
   Micronesia (Fed. States of),583,2020,46.5
   Nauru,520,2020,41.1
   Northern Mariana Islands*,580,2020,58.0
   Palau,585,2020,43.2
   American Samoa*,16,2020,49.0
   Cook Islands*,184,2020,50.0
   French Polynesia*,258,2020,43.0
   Niue*,570,2020,45.7
   Samoa,882,2020,49.5
   Tokelau*,772,2020,52.7
   Tonga,776,2020,45.4
   Tuvalu,798,2020,44.8
   Wallis and Futuna Islands*,876,2020,49.5
