,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,International Migrant Stock 2020: Origin,,,,,,,,,,,,,,,,,,,,,
106,   Lao People's Democratic Republic,,418,, 483 008, 547 786, 649 287, 897 002,1 198 862,1 288 179,1 296 051, 237 312, 270 215, 317 564, 421 459, 553 800, 592 231, 571 192, 245 696, 277 571, 331 723, 475 543, 645 062, 695 948, 724 859
107,   Malaysia*,,458,, 560 353, 861 208,1 201 135,1 379 305,1 599 061,1 781 038,1 860 037, 275 352, 401 165, 539 648, 631 301, 739 362, 816 165, 805 157, 285 001, 460 043, 661 487, 748 004, 859 699, 964 873,1 054 880
108,   Myanmar,,104,, 685 308, 911 445,1 224 310,1 736 590,2 492 274,2 842 494,3 711 751, 376 108, 494 608, 656 671, 960 444,1 392 913,1 593 428,2 323 899, 309 200, 416 837, 567 639, 776 146,1 099 361,1 249 066,1 387 852
109,   Philippines,,608,,2 012 499,2 481 963,3 062 665,3 684 528,4 692 695,5 498 232,6 094 307, 826 634,1 041 934,1 307 609,1 609 037,2 149 714,2 533 069,2 804 967,1 185 865,1 440 029,1 755 056,2 075 491,2 542 981,2 965 163,3 289 340
110,   Singapore,,702,, 156 444, 168 100, 192 930, 235 683, 282 421, 324 639, 348 464, 74 549, 79 794, 91 193, 113 294, 136 184, 157 614, 166 831, 81 895, 88 306, 101 737, 122 389, 146 237, 167 025, 181 633
111,   Thailand,,764,, 306 924, 411 878, 531 028, 631 678, 769 257, 921 690,1 086 985, 121 071, 155 785, 197 201, 230 013, 282 453, 348 078, 423 456, 185 853, 256 093, 333 827, 401 665, 486 804, 573 612, 663 529
112,   Timor-Leste,,626,, 11 261, 79 050, 148 339, 94 961, 35 037, 37 325, 39 588, 5 921, 39 834, 74 436, 50 254, 19 023, 20 585, 21 796, 5 340, 39 216, 73 903, 44 707, 16 014, 16 740, 17 792
113,   Viet Nam,,704,,1 505 588,1 842 320,2 158 532,2 376 225,2 630 742,2 909 491,3 392 025, 770 719, 939 596,1 102 316,1 230 126,1 358 487,1 464 610,1 686 851, 734 869, 902 724,1 056 216,1 146 099,1 272 255,1 444 881,1 705 174
114,  Southern Asia,,5501,,25 384 128,22 910 124,24 435 349,26 428 791,33 850 093,39 053 098,43 394 045,14 296 925,13 063 794,14 057 056,15 523 113,20 886 100,24 330 659,27 404 198,11 087 203,9 846 330,10 378 293,10 905 678,12 963 993,14 722 439,15 989 847
115,   Afghanistan,,4,,7 679 582,4 347 049,4 750 677,4 116 739,5 269 518,5 400 916,5 853 838,4 133 232,2 372 554,2 610 780,2 282 977,2 867 554,2 902 913,3 226 319,3 546 350,1 974 495,2 139 897,1 833 762,2 401 964,2 498 003,2 627 519
116,   Bangladesh,,50,,5 450 443,5 423 528,5 441 094,5 492 474,6 319 871,6 831 282,7 401 763,3 162 454,3 161 768,3 192 999,3 263 197,4 104 883,4 505 672,4 971 930,2 287 989,2 261 760,2 248 095,2 229 277,2 214 988,2 325 610,2 429 833
117,   Bhutan,,64,, 28 461, 117 967, 120 183, 120 319, 91 934, 51 391, 51 998, 13 921, 59 851, 61 414, 61 514, 46 979, 26 218, 26 295, 14 540, 58 116, 58 769, 58 805, 44 955, 25 173, 25 703
118,   India,,356,,6 619 431,7 153 439,7 928 051,9 588 533,13 221 963,15 885 657,17 869 492,3 806 446,4 113 683,4 624 266,5 803 858,8 500 709,10 356 573,11 732 041,2 812 985,3 039 756,3 303 785,3 784 675,4 721 254,5 529 084,6 137 451
119,   Iran (Islamic Republic of),,364,, 631 196, 746 739, 831 205, 889 502, 985 691,1 155 617,1 325 113, 362 151, 419 763, 456 613, 493 083, 530 244, 617 010, 708 864, 269 045, 326 976, 374 592, 396 419, 455 447, 538 607, 616 249
120,   Maldives,,462,, 2 192, 1 687, 1 216, 2 212, 3 543, 3 606, 3 715, 1 697, 1 215,  698, 1 126, 1 712, 1 685, 1 745,  495,  472,  518, 1 086, 1 831, 1 921, 1 970
121,   Nepal,,524,, 748 053, 856 028, 977 396,1 289 629,1 712 697,2 270 166,2 599 701, 389 292, 453 518, 524 840, 676 438, 873 613,1 239 154,1 461 696, 358 761, 402 510, 452 556, 613 191, 839 084,1 031 012,1 138 005
122,   Pakistan,,586,,3 341 086,3 340 157,3 406 434,3 777 830,4 790 584,5 798 210,6 328 400,1 969 314,1 993 435,2 060 394,2 304 528,3 136 466,3 743 863,4 147 071,1 371 772,1 346 722,1 346 040,1 473 302,1 654 118,2 054 347,2 181 329
123,   Sri Lanka,,144,, 883 684, 923 530, 979 093,1 151 553,1 454 292,1 656 253,1 960 025, 458 418, 488 007, 525 052, 636 392, 823 940, 937 571,1 128 237, 425 266, 435 523, 454 041, 515 161, 630 352, 718 682, 831 788
124,  Western Asia,,922,,11 078 561,12 217 016,12 995 065,13 901 370,16 062 583,21 691 299,25 281 195,5 751 011,6 433 589,6 997 654,7 545 912,8 781 728,11 946 484,13 944 020,5 327 550,5 783 427,5 997 411,6 355 458,7 280 855,9 744 815,11 337 175
125,   Armenia,,51,, 899 678, 901 859, 877 148, 900 648, 917 043, 944 520, 958 190, 436 813, 456 359, 469 987, 487 642, 493 848, 507 143, 513 437, 462 865, 445 500, 407 161, 413 006, 423 195, 437 377, 444 753
126,   Azerbaijan*,,31,,1 634 157,1 712 214,1 630 589,1 455 180,1 160 863,1 130 348,1 163 922, 767 905, 843 058, 846 926, 756 699, 618 392, 606 730, 623 400, 866 252, 869 156, 783 663, 698 481, 542 471, 523 618, 540 522
127,   Bahrain,,48,, 12 817, 26 014, 47 736, 51 835, 52 235, 56 721, 58 270, 6 118, 13 253, 24 582, 27 091, 27 727, 29 822, 23 771, 6 699, 12 761, 23 154, 24 744, 24 508, 26 899, 34 499
128,   Cyprus*,,196,, 174 370, 163 275, 153 561, 153 973, 163 471, 166 585, 173 210, 90 729, 83 474, 76 411, 76 384, 81 809, 79 109, 83 014, 83 641, 79 801, 77 150, 77 589, 81 662, 87 476, 90 196
129,   Georgia*,,268,, 919 438, 953 280, 967 022, 885 523, 805 539, 828 931, 861 077, 446 500, 480 830, 502 617, 453 879, 405 507, 411 330, 428 794, 472 938, 472 450, 464 405, 431 644, 400 032, 417 601, 432 283
130,   Iraq,,368,, 642 933, 752 604, 828 414,1 340 599,2 554 929,1 675 613,2 077 976, 343 128, 411 368, 469 465, 746 216,1 365 619, 910 222,1 038 010, 299 805, 341 236, 358 949, 594 383,1 189 310, 765 391,1 039 966
131,   Israel,,376,, 279 625, 290 365, 303 860, 317 009, 333 968, 331 326, 358 691, 138 265, 144 213, 151 741, 160 875, 171 967, 169 899, 185 213, 141 360, 146 152, 152 119, 156 134, 162 001, 161 427, 173 478
132,   Jordan,,400,, 313 621, 339 026, 368 299, 440 788, 602 099, 706 832, 814 909, 187 186, 205 575, 226 138, 277 273, 385 170, 449 065, 516 954, 126 435, 133 451, 142 161, 163 515, 216 929, 257 767, 297 955
133,   Kuwait,,414,, 81 583, 97 009, 113 415, 129 005, 177 816, 195 034, 212 271, 45 219, 55 486, 66 324, 76 100, 108 844, 118 278, 129 614, 36 364, 41 523, 47 091, 52 905, 68 972, 76 756, 82 657
134,   Lebanon,,422,, 507 722, 531 538, 558 891, 608 856, 699 704, 757 183, 856 814, 291 678, 302 457, 315 472, 352 390, 414 002, 447 670, 506 899, 216 044, 229 081, 243 419, 256 466, 285 702, 309 513, 349 915
135,   Oman,,512,, 12 504, 13 844, 15 623, 18 824, 20 752, 22 797, 25 099, 6 431, 7 228, 8 238, 10 002, 11 165, 11 967, 13 574, 6 073, 6 616, 7 385, 8 822, 9 587, 10 830, 11 525
136,   Qatar,,634,, 12 175, 13 302, 14 680, 17 131, 20 674, 23 574, 25 705, 6 018, 6 690, 7 489, 8 915, 10 713, 11 902, 13 145, 6 157, 6 612, 7 191, 8 216, 9 961, 11 672, 12 560
137,   Saudi Arabia,,682,, 107 045, 130 911, 153 614, 178 744, 215 338, 282 906, 299 268, 57 684, 74 204, 89 831, 105 465, 125 982, 154 312, 165 183, 49 361, 56 707, 63 783, 73 279, 89 356, 128 594, 134 085
138,   State of Palestine*,,275,,1 812 673,2 274 589,2 767 331,3 258 102,3 539 908,3 773 988,4 022 791, 888 096,1 129 279,1 400 058,1 666 877,1 805 760,1 972 565,2 112 254, 924 577,1 145 310,1 367 273,1 591 225,1 734 148,1 801 423,1 910 537
139,   Syrian Arab Republic,,760,, 620 285, 661 278, 707 070, 813 361,1 057 322,6 447 843,8 457 214, 354 582, 379 174, 407 236, 484 324, 647 361,3 664 034,4 869 975, 265 703, 282 104, 299 834, 329 037, 409 961,2 783 809,3 587 239
140,   Turkey,,792,,2 512 944,2 771 731,2 847 334,2 577 305,2 708 930,3 073 534,3 411 408,1 349 675,1 470 656,1 525 093,1 374 195,1 432 749,1 587 410,1 766 026,1 163 269,1 301 075,1 322 241,1 203 110,1 276 181,1 486 124,1 645 382
141,   United Arab Emirates,,784,, 79 499, 97 928, 111 082, 125 618, 155 609, 178 324, 203 214, 44 671, 57 415, 66 226, 69 562, 83 884, 94 400, 107 455, 34 828, 40 513, 44 856, 56 056, 71 725, 83 924, 95 759
142,   Yemen,,887,, 455 492, 486 249, 529 396, 628 869, 876 383,1 095 240,1 301 166, 290 313, 312 870, 343 820, 412 023, 591 229, 720 626, 847 302, 165 179, 173 379, 185 576, 216 846, 285 154, 374 614, 453 864
143, EUROPE,,908,,47 730 278,48 636 003,49 727 784,51 336 984,54 711 301,56 577 753,63 273 663,22 438 898,22 816 174,23 247 653,24 061 192,25 508 453,26 369 327,29 748 898,25 291 380,25 819 829,26 480 131,27 275 792,29 202 848,30 208 426,33 524 765
144,  Eastern Europe,,923,,24 779 673,24 168 588,23 820 659,25 554 786,27 578 142,28 822 615,32 194 352,11 228 730,10 857 238,10 575 403,11 423 677,12 346 406,12 864 866,14 468 129,13 550 943,13 311 350,13 245 256,14 131 109,15 231 736,15 957 749,17 726 223
145,   Belarus,,112,,1 767 600,1 736 493,1 685 646,1 581 160,1 464 702,1 469 882,1 483 626, 815 547, 780 219, 735 866, 683 202, 622 606, 623 669, 630 018, 952 053, 956 274, 949 780, 897 958, 842 096, 846 213, 853 608
146,   Bulgaria,,100,, 612 960, 649 430, 688 682, 907 821,1 106 483,1 179 625,1 683 074, 300 350, 312 957, 326 504, 426 799, 512 180, 496 720, 692 856, 312 610, 336 473, 362 178, 481 022, 594 303, 682 905, 990 218
147,   Czechia,,203,, 564 746, 620 286, 723 333, 752 058, 779 438, 819 776,1 026 108, 272 425, 289 839, 324 606, 336 590, 335 913, 353 286, 436 228, 292 321, 330 447, 398 727, 415 468, 443 525, 466 490, 589 880
148,   Hungary,,348,, 391 583, 404 141, 420 959, 466 530, 511 199, 600 887, 714 420, 196 559, 201 396, 210 583, 228 737, 247 593, 292 523, 352 495, 195 024, 202 745, 210 376, 237 793, 263 606, 308 364, 361 925
149,   Poland,,616,,1 673 426,1 775 774,2 047 626,2 884 657,3 716 338,4 077 038,4 825 096, 762 917, 792 359, 882 240,1 308 371,1 733 144,1 884 117,2 298 995, 910 509, 983 415,1 165 386,1 576 286,1 983 194,2 192 921,2 526 101
150,   Republic of Moldova*,,498,, 625 680, 620 030, 602 773, 715 496, 827 409, 929 759,1 159 443, 290 609, 297 868, 299 267, 342 253, 383 845, 430 866, 554 320, 335 071, 322 162, 303 506, 373 243, 443 564, 498 893, 605 123
151,   Romania,,642,, 811 853, 976 732,1 138 825,2 105 906,3 363 361,3 420 714,3 987 093, 376 790, 459 487, 542 472, 986 924,1 580 768,1 567 809,1 874 015, 435 063, 517 245, 596 353,1 118 982,1 782 593,1 852 905,2 113 078
152,   Russian Federation,,643,,12 653 331,11 587 959,10 664 764,10 302 948,10 118 680,10 179 999,10 756 697,5 512 948,4 984 699,4 509 883,4 425 027,4 372 877,4 449 268,4 655 021,7 140 383,6 603 260,6 154 881,5 877 921,5 745 803,5 730 731,6 101 676
153,   Slovakia,,703,, 132 977, 191 610, 251 533, 271 828, 260 656, 347 385, 419 651, 65 915, 95 196, 125 238, 128 519, 119 280, 157 103, 195 564, 67 062, 96 414, 126 295, 143 309, 141 376, 190 282, 224 087
154,   Ukraine*,,804,,5 545 517,5 606 133,5 596 518,5 566 382,5 429 876,5 797 550,6 139 144,2 634 670,2 643 218,2 618 744,2 557 255,2 438 200,2 609 505,2 778 617,2 910 847,2 962 915,2 977 774,3 009 127,2 991 676,3 188 045,3 360 527
155,  Northern Europe,,924,,6 227 251,6 202 247,6 422 540,6 780 094,7 178 780,7 315 147,7 884 780,2 959 183,2 945 625,3 053 954,3 254 617,3 443 327,3 529 209,3 820 591,3 268 068,3 256 622,3 368 586,3 525 477,3 735 453,3 785 938,4 064 189
156,   Channel Islands*,,830,, 18 726, 15 626, 12 825, 14 815, 15 699, 16 469, 17 158, 8 755, 7 477, 6 316, 7 167, 7 744, 8 292, 8 836, 9 971, 8 149, 6 509, 7 648, 7 955, 8 177, 8 322
157,   Denmark*,,208,, 201 514, 207 707, 217 761, 224 462, 233 531, 236 832, 257 025, 91 508, 94 661, 100 345, 106 327, 111 478, 111 890, 122 100, 110 006, 113 046, 117 416, 118 135, 122 053, 124 942, 134 925
158,   Estonia,,233,, 113 860, 129 586, 141 821, 150 101, 153 633, 189 109, 206 631, 54 294, 60 521, 65 057, 67 824, 68 652, 84 113, 91 437, 59 566, 69 065, 76 764, 82 277, 84 981, 104 996, 115 194
159,   Faroe Islands*,,234,, 7 518, 10 003, 12 410, 12 484, 12 364, 13 407, 12 927, 2 989, 4 113, 5 236, 5 200, 5 189, 5 736, 5 511, 4 529, 5 890, 7 174, 7 284, 7 175, 7 671, 7 416
160,   Finland*,,246,, 250 610, 288 655, 315 861, 300 562, 291 883, 282 223, 311 889, 101 833, 116 149, 125 768, 121 279, 115 561, 108 794, 123 798, 148 777, 172 506, 190 093, 179 283, 176 322, 173 429, 188 091
161,   Iceland,,352,, 17 597, 21 433, 26 173, 28 669, 32 454, 37 006, 43 251, 8 613, 10 434, 12 764, 14 160, 16 160, 18 348, 21 173, 8 984, 10 999, 13 409, 14 509, 16 294, 18 658, 22 078
162,   Ireland,,372,, 917 101, 863 541, 820 657, 769 942, 729 466, 736 639, 734 317, 413 123, 385 333, 361 562, 342 406, 328 010, 334 784, 341 607, 503 978, 478 208, 459 095, 427 536, 401 456, 401 855, 392 710
163,   Isle of Man*,,833,, 10 735, 9 003, 7 377, 8 484, 9 033, 10 580, 12 032, 5 098, 4 363, 3 675, 4 167, 4 534, 5 185, 5 816, 5 637, 4 640, 3 702, 4 317, 4 499, 5 395, 6 216
164,   Latvia,,428,, 215 070, 228 958, 238 641, 270 982, 278 168, 369 238, 380 010, 99 917, 105 380, 108 961, 121 873, 122 669, 165 315, 172 595, 115 153, 123 578, 129 680, 149 109, 155 499, 203 923, 207 415
165,   Lithuania,,440,, 340 973, 342 389, 348 564, 412 371, 517 746, 556 292, 658 057, 152 568, 150 762, 151 578, 179 732, 225 126, 244 904, 288 652, 188 405, 191 627, 196 986, 232 639, 292 620, 311 388, 369 405
166,   Norway*,,578,, 138 289, 151 041, 163 834, 174 063, 179 971, 185 578, 191 392, 59 772, 65 270, 71 032, 77 328, 80 335, 82 268, 82 789, 78 517, 85 771, 92 802, 96 735, 99 636, 103 310, 108 603
167,   Sweden,,752,, 205 942, 225 655, 256 610, 267 953, 291 904, 302 408, 327 581, 87 405, 97 040, 112 503, 118 935, 129 495, 135 980, 147 538, 118 537, 128 615, 144 107, 149 018, 162 409, 166 428, 180 043
168,   United Kingdom*,,826,,3 789 316,3 708 650,3 860 006,4 145 206,4 432 928,4 379 366,4 732 510,1 873 308,1 844 122,1 929 157,2 088 219,2 228 374,2 223 600,2 408 739,1 916 008,1 864 528,1 930 849,2 056 987,2 204 554,2 155 766,2 323 771
169,  Southern Europe,,925,,10 622 826,11 889 956,12 651 345,11 535 218,11 728 125,12 045 253,14 017 111,5 425 783,6 028 232,6 387 954,5 819 357,5 844 716,6 004 592,7 109 579,5 197 043,5 861 724,6 263 391,5 715 861,5 883 409,6 040 661,6 907 532
170,   Albania,,8,, 180 204, 501 066, 824 442, 966 032,1 117 940,1 142 844,1 250 451, 109 414, 281 966, 454 773, 517 369, 580 912, 576 220, 642 626, 70 790, 219 100, 369 669, 448 663, 537 028, 566 624, 607 825
171,   Andorra,,20,, 3 740, 4 142, 5 575, 5 727, 7 909, 8 740, 11 132, 1 737, 1 939, 2 647, 2 741, 3 848, 4 200, 5 302, 2 003, 2 203, 2 928, 2 986, 4 061, 4 540, 5 830
172,   Bosnia and Herzegovina,,70,, 861 760,1 372 526,1 496 691,1 501 036,1 572 925,1 593 430,1 687 639, 427 367, 668 720, 732 010, 726 700, 760 012, 763 150, 820 732, 434 393, 703 806, 764 681, 774 336, 812 913, 830 280, 866 907
173,   Croatia,,191,, 425 544, 735 213, 907 031, 839 084, 820 407, 806 242,1 039 526, 214 109, 362 947, 435 683, 399 202, 383 471, 375 750, 495 533, 211 435, 372 266, 471 348, 439 882, 436 936, 430 492, 543 993
174,   Gibraltar*,,292,, 11 989, 10 130, 8 451, 9 643, 10 197, 11 916, 13 389, 5 670, 4 889, 4 174, 4 743, 5 130, 5 766, 6 434, 6 319, 5 241, 4 277, 4 900, 5 067, 6 150, 6 955
175,   Greece,,300,,1 022 125,1 004 201, 982 685, 867 619, 789 457, 820 119,1 088 507, 533 413, 520 579, 506 166, 450 195, 408 319, 421 173, 567 041, 488 712, 483 622, 476 519, 417 424, 381 138, 398 946, 521 466
176,   Holy See*,,336,,  10,  26,  41,  110,  175,  310,  174,  5,  17,  28,  54,  76,  115,  71,  5,  9,  13,  56,  99,  195,  103
177,   Italy,,380,,3 350 982,3 207 728,3 067 498,2 698 486,2 559 233,2 662 661,3 258 831,1 739 388,1 663 871,1 590 861,1 413 246,1 330 202,1 400 582,1 757 002,1 611 594,1 543 857,1 476 637,1 285 240,1 229 031,1 262 079,1 501 829
178,   Malta,,470,, 110 738, 109 839, 104 869, 100 245, 99 294, 93 554, 102 793, 56 490, 55 524, 52 311, 49 819, 49 396, 47 197, 51 684, 54 248, 54 315, 52 558, 50 426, 49 898, 46 357, 51 109
179,   Montenegro,,499,, 77 384, 144 640, 183 451, 148 013, 148 754, 134 028, 132 965, 38 819, 70 517, 85 403, 70 332, 67 741, 61 328, 61 547, 38 565, 74 123, 98 048, 77 681, 81 013, 72 700, 71 418
180,   North Macedonia,,807,, 432 070, 491 992, 532 132, 458 822, 526 151, 563 354, 693 896, 216 997, 245 834, 266 937, 229 907, 259 242, 291 278, 357 739, 215 073, 246 158, 265 195, 228 915, 266 909, 272 076, 336 157
181,   Portugal,,620,,1 871 869,1 920 865,1 993 793,1 743 009,1 927 397,1 971 655,2 081 419, 964 178, 986 469,1 021 724, 899 359, 987 376,1 010 281,1 074 098, 907 691, 934 396, 972 069, 843 650, 940 021, 961 374,1 007 321
182,   San Marino,,674,, 1 413, 2 456, 3 494, 2 907, 2 266, 3 688, 2 407,  568, 1 132, 1 693, 1 298,  864, 1 269,  986,  845, 1 324, 1 801, 1 609, 1 402, 2 419, 1 421
183,   Serbia*,,688,, 742 547, 914 112,1 131 919, 960 621, 936 001, 826 891,1 003 962, 393 867, 480 918, 592 896, 491 207, 463 834, 406 341, 497 564, 348 680, 433 194, 539 023, 469 414, 472 167, 420 550, 506 398
184,   Slovenia,,705,, 91 447, 108 611, 118 659, 119 399, 122 948, 136 538, 160 197, 39 956, 47 496, 52 205, 52 802, 54 436, 61 173, 73 387, 51 491, 61 115, 66 454, 66 597, 68 512, 75 365, 86 810
185,   Spain*,,724,,1 439 004,1 362 409,1 290 614,1 114 465,1 087 071,1 269 283,1 489 823, 683 805, 635 414, 588 443, 510 383, 489 857, 578 769, 697 833, 755 199, 726 995, 702 171, 604 082, 597 214, 690 514, 791 990
186,  Western Europe,,926,,6 100 528,6 375 212,6 833 240,7 466 886,8 226 254,8 394 738,9 177 420,2 825 202,2 985 079,3 230 342,3 563 541,3 874 004,3 970 660,4 350 599,3 275 326,3 390 133,3 602 898,3 903 345,4 352 250,4 424 078,4 826 821
187,   Austria,,40,, 505 214, 490 045, 478 091, 493 349, 517 401, 515 234, 600 740, 234 319, 227 962, 222 934, 227 488, 231 771, 233 867, 281 323, 270 895, 262 083, 255 157, 265 861, 285 630, 281 367, 319 417
188,   Belgium,,56,, 363 970, 374 734, 398 864, 437 701, 484 032, 515 793, 577 463, 156 482, 161 376, 172 734, 202 650, 218 052, 243 956, 276 754, 207 488, 213 358, 226 130, 235 051, 265 980, 271 837, 300 709
189,   France*,,250,,1 215 837,1 353 297,1 555 391,1 725 216,1 956 818,2 119 266,2 341 908, 572 481, 645 393, 748 629, 833 193, 943 288,1 023 721,1 139 109, 643 356, 707 904, 806 762, 892 023,1 013 530,1 095 545,1 202 799
190,   Germany,,276,,2 929 448,3 045 354,3 235 247,3 442 933,3 696 638,3 630 278,3 855 268,1 341 083,1 413 344,1 520 496,1 629 631,1 719 667,1 689 326,1 784 487,1 588 365,1 632 010,1 714 751,1 813 302,1 976 971,1 940 952,2 070 781
191,   Liechtenstein,,438,, 3 425, 3 018, 2 688, 2 935, 3 590, 3 536, 3 706, 1 446, 1 304, 1 202, 1 307, 1 566, 1 565, 1 655, 1 979, 1 714, 1 486, 1 628, 2 024, 1 971, 2 051
192,   Luxembourg,,442,, 36 108, 37 875, 39 762, 52 806, 62 048, 69 366, 81 757, 18 542, 19 240, 19 991, 26 314, 28 889, 32 722, 40 460, 17 566, 18 635, 19 771, 26 492, 33 159, 36 644, 41 297
193,   Monaco,,492,, 4 475, 4 784, 5 124, 19 103, 26 954, 29 317, 32 552, 2 255, 2 388, 2 530, 9 580, 13 094, 13 915, 15 473, 2 220, 2 396, 2 594, 9 523, 13 860, 15 402, 17 079
194,   Netherlands*,,528,, 716 471, 726 856, 747 631, 790 554, 854 388, 867 093, 970 403, 353 394, 361 252, 372 460, 397 891, 427 577, 435 630, 484 739, 363 077, 365 604, 375 171, 392 663, 426 811, 431 463, 485 664
195,   Switzerland,,756,, 325 580, 339 249, 370 442, 502 289, 624 385, 644 855, 713 623, 145 200, 152 820, 169 366, 235 487, 290 100, 295 958, 326 599, 180 380, 186 429, 201 076, 266 802, 334 285, 348 897, 387 024
196, LATIN AMERICA AND THE CARIBBEAN,,904,,15 273 399,19 669 704,24 628 700,29 338 206,34 637 650,36 206 000,42 890 481,7 544 689,9 726 163,12 182 539,14 495 367,16 857 618,17 582 139,20 697 275,7 728 710,9 943 541,12 446 161,14 842 839,17 780 032,18 623 861,22 193 206
197,  Caribbean,,915,,4 139 775,5 035 853,5 966 487,6 506 671,7 273 502,8 135 307,9 078 772,1 973 524,2 347 284,2 729 146,2 979 365,3 274 934,3 802 917,4 252 967,2 166 251,2 688 569,3 237 341,3 527 306,3 998 568,4 332 390,4 825 805
198,   Anguilla*,,660,, 1 832, 2 166, 2 508, 2 425, 2 273, 2 553, 2 505,  953, 1 116, 1 276, 1 220, 1 159, 1 350, 1 293,  879, 1 050, 1 232, 1 205, 1 114, 1 203, 1 212
199,   Antigua and Barbuda,,28,, 21 382, 26 965, 32 782, 36 398, 41 347, 52 189, 66 561, 9 656, 12 194, 14 856, 16 580, 18 668, 23 792, 29 948, 11 726, 14 771, 17 926, 19 818, 22 679, 28 397, 36 613
200,   Aruba*,,533,, 5 887, 6 705, 7 662, 9 482, 13 524, 16 621, 21 456, 2 606, 2 966, 3 395, 4 230, 5 880, 7 257, 9 326, 3 281, 3 739, 4 267, 5 252, 7 644, 9 364, 12 130
201,   Bahamas,,44,, 25 137, 29 594, 34 301, 34 715, 35 990, 42 965, 53 793, 10 606, 12 598, 14 737, 15 043, 15 388, 18 115, 22 329, 14 531, 16 996, 19 564, 19 672, 20 602, 24 850, 31 464
202,   Barbados,,52,, 84 766, 89 612, 94 998, 92 975, 96 193, 101 879, 99 611, 40 100, 42 423, 44 992, 43 951, 45 018, 47 152, 45 906, 44 666, 47 189, 50 006, 49 024, 51 175, 54 727, 53 705
203,"   Bonaire, Sint Eustatius and Saba*",,535,,  445,  540,  647,  753, 7 065, 7 295, 8 148,  226,  274,  326,  378, 3 150, 3 247, 3 657,  219,  266,  321,  375, 3 915, 4 048, 4 491
204,   British Virgin Islands*,,92,, 3 094, 3 368, 3 683, 4 008, 4 921, 5 118, 5 355, 1 340, 1 462, 1 603, 1 776, 2 173, 2 245, 2 343, 1 754, 1 906, 2 080, 2 232, 2 748, 2 873, 3 012
205,   Cayman Islands*,,136,,  356,  794, 1 278, 1 290, 1 404, 1 709, 1 908,  187,  363,  559,  590,  658,  796,  863,  169,  431,  719,  700,  746,  913, 1 045
206,   Cuba,,192,, 835 175, 934 168,1 047 789,1 160 309,1 314 739,1 505 827,1 757 300, 399 033, 445 646, 499 590, 553 465, 618 056, 702 390, 822 706, 436 142, 488 522, 548 199, 606 844, 696 683, 803 437, 934 594
207,   Curaçao*,,531,, 2 104, 2 849, 3 779, 4 618, 45 248, 6 239, 7 611, 1 025, 1 410, 1 885, 2 327, 20 929, 3 141, 3 800, 1 079, 1 439, 1 894, 2 291, 24 319, 3 098, 3 811
208,   Dominica,,212,, 40 563, 44 210, 48 275, 64 037, 73 583, 72 585, 78 191, 18 576, 20 399, 22 384, 28 772, 31 285, 30 442, 32 456, 21 987, 23 811, 25 891, 35 265, 42 298, 42 143, 45 735
209,   Dominican Republic,,214,, 458 021, 667 015, 889 451,1 014 070,1 184 417,1 454 602,1 608 567, 196 168, 283 859, 376 036, 430 576, 496 745, 608 480, 664 406, 261 853, 383 156, 513 415, 583 494, 687 672, 846 122, 944 161
210,   Grenada,,308,, 43 237, 54 075, 63 791, 64 646, 63 930, 69 055, 62 204, 19 599, 24 526, 28 883, 28 858, 27 905, 30 025, 27 572, 23 638, 29 549, 34 908, 35 788, 36 025, 39 030, 34 632
211,   Guadeloupe*,,312,, 5 765, 6 748, 7 750, 8 911, 10 779, 11 993, 12 542, 2 558, 2 893, 3 235, 3 662, 4 393, 4 674, 4 953, 3 207, 3 855, 4 515, 5 249, 6 386, 7 319, 7 589
212,   Haiti,,332,, 524 711, 661 354, 802 218, 967 894,1 123 190,1 467 042,1 769 671, 292 687, 361 848, 433 429, 515 654, 587 744, 793 349, 964 896, 232 024, 299 506, 368 789, 452 240, 535 446, 673 693, 804 775
213,   Jamaica,,388,, 588 450, 718 362, 857 865, 905 170, 989 790,1 031 596,1 118 931, 267 945, 324 401, 385 488, 402 827, 427 047, 440 347, 475 022, 320 505, 393 961, 472 377, 502 343, 562 743, 591 249, 643 909
214,   Martinique*,,474,, 11 036, 12 501, 14 019, 14 340, 14 637, 12 675, 12 963, 5 607, 6 043, 6 498, 6 637, 6 756, 5 516, 5 623, 5 429, 6 458, 7 521, 7 703, 7 881, 7 159, 7 340
215,   Montserrat*,,500,, 7 178, 11 586, 16 132, 15 810, 17 378, 20 136, 24 582, 3 363, 5 193, 7 083, 7 090, 7 844, 8 863, 10 680, 3 815, 6 393, 9 049, 8 720, 9 534, 11 273, 13 902
216,   Puerto Rico*,,630,,1 200 245,1 405 619,1 600 058,1 640 015,1 731 818,1 715 817,1 850 529, 574 579, 637 593, 688 171, 710 802, 737 672, 841 611, 905 682, 625 666, 768 026, 911 887, 929 213, 994 146, 874 206, 944 847
217,   Saint Barthélemy*,,652,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
218,   Saint Kitts and Nevis,,659,, 18 618, 24 662, 30 867, 33 317, 35 795, 40 211, 50 285, 8 702, 11 466, 14 309, 15 279, 16 120, 18 114, 22 359, 9 916, 13 196, 16 558, 18 038, 19 675, 22 097, 27 926
