Region,Location code,Year,Numero de Migrantes,Género
   Senegal,686,2000,241858,Hombres
   Sierra Leone,694,2000,254796,Hombres
   Togo,768,2000,130910,Hombres
 ASIA,935,2000,34677458,Hombres
  Central Asia,5500,2000,3122316,Hombres
   Kazakhstan,398,2000,1652929,Hombres
   Kyrgyzstan,417,2000,273034,Hombres
   Tajikistan,762,2000,299119,Hombres
   Turkmenistan,795,2000,109999,Hombres
   Uzbekistan,860,2000,787235,Hombres
  Eastern Asia,906,2000,4618538,Hombres
   China*,156,2000,2924744,Hombres
"   China, Hong Kong SAR*",344,2000,337228,Hombres
"   China, Macao SAR*",446,2000,47194,Hombres
"   China, Taiwan Province of China*",158,2000,0,Hombres
   Dem. People's Republic of Korea,408,2000,35986,Hombres
   Japan,392,2000,340803,Hombres
   Mongolia,496,2000,13870,Hombres
   Republic of Korea,410,2000,918713,Hombres
  South-Eastern Asia,920,2000,5881894,Hombres
   Brunei Darussalam,96,2000,27186,Hombres
   Cambodia,116,2000,223794,Hombres
   Indonesia,360,2000,1344276,Hombres
   Lao People's Democratic Republic,418,2000,317564,Hombres
   Malaysia*,458,2000,539648,Hombres
   Myanmar,104,2000,656671,Hombres
   Philippines,608,2000,1307609,Hombres
   Singapore,702,2000,91193,Hombres
   Thailand,764,2000,197201,Hombres
   Timor-Leste,626,2000,74436,Hombres
   Viet Nam,704,2000,1102316,Hombres
  Southern Asia,5501,2000,14057056,Hombres
   Afghanistan,4,2000,2610780,Hombres
   Bangladesh,50,2000,3192999,Hombres
   Bhutan,64,2000,61414,Hombres
   India,356,2000,4624266,Hombres
   Iran (Islamic Republic of),364,2000,456613,Hombres
   Maldives,462,2000,698,Hombres
   Nepal,524,2000,524840,Hombres
   Pakistan,586,2000,2060394,Hombres
   Sri Lanka,144,2000,525052,Hombres
  Western Asia,922,2000,6997654,Hombres
   Armenia,51,2000,469987,Hombres
   Azerbaijan*,31,2000,846926,Hombres
   Bahrain,48,2000,24582,Hombres
   Cyprus*,196,2000,76411,Hombres
   Georgia*,268,2000,502617,Hombres
   Iraq,368,2000,469465,Hombres
   Israel,376,2000,151741,Hombres
   Jordan,400,2000,226138,Hombres
   Kuwait,414,2000,66324,Hombres
   Lebanon,422,2000,315472,Hombres
   Oman,512,2000,8238,Hombres
   Qatar,634,2000,7489,Hombres
   Saudi Arabia,682,2000,89831,Hombres
   State of Palestine*,275,2000,1400058,Hombres
   Syrian Arab Republic,760,2000,407236,Hombres
   Turkey,792,2000,1525093,Hombres
   United Arab Emirates,784,2000,66226,Hombres
   Yemen,887,2000,343820,Hombres
 EUROPE,908,2000,23247653,Hombres
  Eastern Europe,923,2000,10575403,Hombres
   Belarus,112,2000,735866,Hombres
   Bulgaria,100,2000,326504,Hombres
   Czechia,203,2000,324606,Hombres
   Hungary,348,2000,210583,Hombres
   Poland,616,2000,882240,Hombres
   Republic of Moldova*,498,2000,299267,Hombres
   Romania,642,2000,542472,Hombres
   Russian Federation,643,2000,4509883,Hombres
   Slovakia,703,2000,125238,Hombres
   Ukraine*,804,2000,2618744,Hombres
  Northern Europe,924,2000,3053954,Hombres
   Channel Islands*,830,2000,6316,Hombres
   Denmark*,208,2000,100345,Hombres
   Estonia,233,2000,65057,Hombres
   Faroe Islands*,234,2000,5236,Hombres
   Finland*,246,2000,125768,Hombres
   Iceland,352,2000,12764,Hombres
   Ireland,372,2000,361562,Hombres
   Isle of Man*,833,2000,3675,Hombres
   Latvia,428,2000,108961,Hombres
   Lithuania,440,2000,151578,Hombres
   Norway*,578,2000,71032,Hombres
   Sweden,752,2000,112503,Hombres
   United Kingdom*,826,2000,1929157,Hombres
  Southern Europe,925,2000,6387954,Hombres
   Albania,8,2000,454773,Hombres
   Andorra,20,2000,2647,Hombres
   Bosnia and Herzegovina,70,2000,732010,Hombres
   Croatia,191,2000,435683,Hombres
   Gibraltar*,292,2000,4174,Hombres
   Greece,300,2000,506166,Hombres
   Holy See*,336,2000,28,Hombres
   Italy,380,2000,1590861,Hombres
   Malta,470,2000,52311,Hombres
   Montenegro,499,2000,85403,Hombres
   North Macedonia,807,2000,266937,Hombres
   Portugal,620,2000,1021724,Hombres
   San Marino,674,2000,1693,Hombres
   Serbia*,688,2000,592896,Hombres
   Slovenia,705,2000,52205,Hombres
   Spain*,724,2000,588443,Hombres
  Western Europe,926,2000,3230342,Hombres
   Austria,40,2000,222934,Hombres
   Belgium,56,2000,172734,Hombres
   France*,250,2000,748629,Hombres
   Germany,276,2000,1520496,Hombres
   Liechtenstein,438,2000,1202,Hombres
   Luxembourg,442,2000,19991,Hombres
   Monaco,492,2000,2530,Hombres
   Netherlands*,528,2000,372460,Hombres
   Switzerland,756,2000,169366,Hombres
 LATIN AMERICA AND THE CARIBBEAN,904,2000,12182539,Hombres
  Caribbean,915,2000,2729146,Hombres
   Anguilla*,660,2000,1276,Hombres
   Antigua and Barbuda,28,2000,14856,Hombres
   Aruba*,533,2000,3395,Hombres
   Bahamas,44,2000,14737,Hombres
   Barbados,52,2000,44992,Hombres
"   Bonaire, Sint Eustatius and Saba*",535,2000,326,Hombres
   British Virgin Islands*,92,2000,1603,Hombres
   Cayman Islands*,136,2000,559,Hombres
   Cuba,192,2000,499590,Hombres
   Curaçao*,531,2000,1885,Hombres
   Dominica,212,2000,22384,Hombres
   Dominican Republic,214,2000,376036,Hombres
   Grenada,308,2000,28883,Hombres
   Guadeloupe*,312,2000,3235,Hombres
   Haiti,332,2000,433429,Hombres
   Jamaica,388,2000,385488,Hombres
   Martinique*,474,2000,6498,Hombres
   Montserrat*,500,2000,7083,Hombres
   Puerto Rico*,630,2000,688171,Hombres
   Saint Barthélemy*,652,2000,0,Hombres
   Saint Kitts and Nevis,659,2000,14309,Hombres
   Saint Lucia,662,2000,17671,Hombres
   Saint Martin (French part)*,663,2000,0,Hombres
   Saint Vincent and the Grenadines,670,2000,26215,Hombres
   Sint Maarten (Dutch part)*,534,2000,591,Hombres
   Trinidad and Tobago,780,2000,133408,Hombres
   Turks and Caicos Islands*,796,2000,345,Hombres
   United States Virgin Islands*,850,2000,2181,Hombres
  Central America,916,2000,6477478,Hombres
   Belize,84,2000,20421,Hombres
   Costa Rica,188,2000,44546,Hombres
   El Salvador,222,2000,480184,Hombres
   Guatemala,320,2000,297854,Hombres
   Honduras,340,2000,148387,Hombres
   Mexico,484,2000,5172990,Hombres
   Nicaragua,558,2000,245092,Hombres
   Panama,591,2000,68004,Hombres
  South America,931,2000,2975915,Hombres
   Argentina,32,2000,268387,Hombres
   Bolivia (Plurinational State of),68,2000,174719,Hombres
   Brazil,76,2000,406768,Hombres
   Chile,152,2000,246871,Hombres
   Colombia,170,2000,658250,Hombres
   Ecuador,218,2000,217734,Hombres
   Falkland Islands (Malvinas)*,238,2000,528,Hombres
   French Guiana*,254,2000,1548,Hombres
   Guyana,328,2000,171419,Hombres
   Paraguay,600,2000,162710,Hombres
   Peru,604,2000,311609,Hombres
   Suriname,740,2000,98738,Hombres
   Uruguay,858,2000,115418,Hombres
   Venezuela (Bolivarian Republic of),862,2000,141216,Hombres
 NORTHERN AMERICA,905,2000,1428451,Hombres
   Bermuda*,60,2000,6962,Hombres
   Canada,124,2000,427501,Hombres
   Greenland*,304,2000,5412,Hombres
   Saint Pierre and Miquelon*,666,2000,260,Hombres
   United States of America*,840,2000,988316,Hombres
 OCEANIA ,909,2000,604446,Hombres
  Australia and New Zealand,927,2000,421127,Hombres
   Australia*,36,2000,175553,Hombres
   New Zealand*,554,2000,245574,Hombres
  Melanesia,928,2000,72454,Hombres
   Fiji,242,2000,63308,Hombres
   New Caledonia*,540,2000,2274,Hombres
   Papua New Guinea,598,2000,2279,Hombres
   Solomon Islands,90,2000,1346,Hombres
   Vanuatu,548,2000,3247,Hombres
  Micronesia,954,2000,19250,Hombres
   Guam*,316,2000,1387,Hombres
   Kiribati,296,2000,1898,Hombres
   Marshall Islands,584,2000,3489,Hombres
   Micronesia (Fed. States of),583,2000,8518,Hombres
   Nauru,520,2000,769,Hombres
   Northern Mariana Islands*,580,2000,1333,Hombres
   Palau,585,2000,1856,Hombres
  Polynesia*,957,2000,91615,Hombres
   American Samoa*,16,2000,1629,Hombres
   Cook Islands*,184,2000,9491,Hombres
   French Polynesia*,258,2000,2125,Hombres
   Niue*,570,2000,2788,Hombres
   Samoa,882,2000,46571,Hombres
   Tokelau*,772,2000,1017,Hombres
   Tonga,776,2000,22879,Hombres
   Tuvalu,798,2000,1354,Hombres
   Wallis and Futuna Islands*,876,2000,3761,Hombres
OTHER,2003,2000,3593958,Hombres
WORLD,900,2005,97663081,Hombres
  Sub-Saharan Africa,947,2005,9227058,Hombres
  Northern Africa and Western Asia,1833,2005,12097241,Hombres
  Central and Southern Asia,921,2005,18895884,Hombres
  Eastern and South-Eastern Asia,1832,2005,12487051,Hombres
  Latin America and the Caribbean,1830,2005,14495367,Hombres
  Oceania (excluding Australia and New Zealand),1835,2005,198892,Hombres
  Australia and New Zealand,927,2005,481926,Hombres
  Europe and Northern America,1829,2005,25682798,Hombres
  Developed regions,901,2005,26505508,Hombres
  Less developed regions,902,2005,67060709,Hombres
" Less developed regions, excluding least developed countries",934,2005,50504229,Hombres
" Less developed regions, excluding China",948,2005,63084782,Hombres
  Least developed countries,941,2005,16556480,Hombres
  Land-locked Developing Countries (LLDC),1636,2005,12609177,Hombres
  Small island developing States (SIDS),1637,2005,3940542,Hombres
  High-income countries,1503,2005,19612464,Hombres
  Middle-income countries,1517,2005,63532741,Hombres
 Upper-middle-income countries,1502,2005,32157068,Hombres
 Lower-middle-income countries,1501,2005,31375673,Hombres
  Low-income countries,1500,2005,10305271,Hombres
 AFRICA,903,2005,13778387,Hombres
  Eastern Africa,910,2005,3320996,Hombres
   Burundi,108,2005,386645,Hombres
   Comoros,174,2005,49839,Hombres
   Djibouti,262,2005,6293,Hombres
   Eritrea,232,2005,153062,Hombres
   Ethiopia,231,2005,284011,Hombres
   Kenya,404,2005,173569,Hombres
   Madagascar,450,2005,64403,Hombres
   Malawi,454,2005,129386,Hombres
   Mauritius*,480,2005,59779,Hombres
   Mayotte*,175,2005,3137,Hombres
   Mozambique,508,2005,410270,Hombres
   Réunion*,638,2005,1068,Hombres
   Rwanda,646,2005,142456,Hombres
   Seychelles,690,2005,10171,Hombres
   Somalia,706,2005,568870,Hombres
   South Sudan,728,2005,124611,Hombres
   Uganda,800,2005,291881,Hombres
   United Republic of Tanzania*,834,2005,118644,Hombres
   Zambia,894,2005,86976,Hombres
   Zimbabwe,716,2005,255925,Hombres
  Middle Africa,911,2005,1386182,Hombres
   Angola,24,2005,353459,Hombres
   Cameroon,120,2005,110699,Hombres
   Central African Republic,140,2005,61515,Hombres
   Chad,148,2005,113818,Hombres
   Congo,178,2005,86625,Hombres
   Democratic Republic of the Congo,180,2005,591870,Hombres
   Equatorial Guinea,226,2005,33811,Hombres
   Gabon,266,2005,20471,Hombres
   Sao Tome and Principe,678,2005,13914,Hombres
  Northern Africa,912,2005,4551329,Hombres
   Algeria,12,2005,835802,Hombres
   Egypt,818,2005,1184398,Hombres
   Libya,434,2005,53242,Hombres
   Morocco,504,2005,1367790,Hombres
   Sudan,729,2005,708617,Hombres
   Tunisia,788,2005,329476,Hombres
   Western Sahara,732,2005,72004,Hombres
  Southern Africa,913,2005,456787,Hombres
   Botswana,72,2005,19815,Hombres
   Eswatini,748,2005,24643,Hombres
   Lesotho,426,2005,85462,Hombres
   Namibia,516,2005,32195,Hombres
   South Africa,710,2005,294672,Hombres
  Western Africa,914,2005,4063093,Hombres
   Benin,204,2005,280680,Hombres
   Burkina Faso,854,2005,757585,Hombres
   Cabo Verde,132,2005,66615,Hombres
   Côte d'Ivoire,384,2005,361279,Hombres
   Gambia,270,2005,36960,Hombres
   Ghana,288,2005,355105,Hombres
   Guinea,324,2005,228829,Hombres
   Guinea-Bissau,624,2005,45328,Hombres
   Liberia,430,2005,174000,Hombres
   Mali,466,2005,504937,Hombres
   Mauritania,478,2005,63798,Hombres
   Niger,562,2005,183773,Hombres
   Nigeria,566,2005,440569,Hombres
   Saint Helena*,654,2005,1319,Hombres
   Senegal,686,2005,286672,Hombres
   Sierra Leone,694,2005,76684,Hombres
   Togo,768,2005,198960,Hombres
 ASIA,935,2005,38928847,Hombres
  Central Asia,5500,2005,3372771,Hombres
   Kazakhstan,398,2005,1736321,Hombres
   Kyrgyzstan,417,2005,315925,Hombres
   Tajikistan,762,2005,327743,Hombres
   Turkmenistan,795,2005,112625,Hombres
   Uzbekistan,860,2005,880157,Hombres
  Eastern Asia,906,2005,5350635,Hombres
   China*,156,2005,3547044,Hombres
"   China, Hong Kong SAR*",344,2005,377171,Hombres
"   China, Macao SAR*",446,2005,51712,Hombres
"   China, Taiwan Province of China*",158,2005,0,Hombres
   Dem. People's Republic of Korea,408,2005,44079,Hombres
   Japan,392,2005,340784,Hombres
   Mongolia,496,2005,19757,Hombres
   Republic of Korea,410,2005,970088,Hombres
  South-Eastern Asia,920,2005,7136416,Hombres
   Brunei Darussalam,96,2005,26586,Hombres
   Cambodia,116,2005,319678,Hombres
   Indonesia,360,2005,1544224,Hombres
   Lao People's Democratic Republic,418,2005,421459,Hombres
   Malaysia*,458,2005,631301,Hombres
   Myanmar,104,2005,960444,Hombres
   Philippines,608,2005,1609037,Hombres
   Singapore,702,2005,113294,Hombres
   Thailand,764,2005,230013,Hombres
   Timor-Leste,626,2005,50254,Hombres
   Viet Nam,704,2005,1230126,Hombres
  Southern Asia,5501,2005,15523113,Hombres
   Afghanistan,4,2005,2282977,Hombres
   Bangladesh,50,2005,3263197,Hombres
   Bhutan,64,2005,61514,Hombres
   India,356,2005,5803858,Hombres
   Iran (Islamic Republic of),364,2005,493083,Hombres
   Maldives,462,2005,1126,Hombres
   Nepal,524,2005,676438,Hombres
   Pakistan,586,2005,2304528,Hombres
   Sri Lanka,144,2005,636392,Hombres
  Western Asia,922,2005,7545912,Hombres
   Armenia,51,2005,487642,Hombres
   Azerbaijan*,31,2005,756699,Hombres
   Bahrain,48,2005,27091,Hombres
   Cyprus*,196,2005,76384,Hombres
   Georgia*,268,2005,453879,Hombres
   Iraq,368,2005,746216,Hombres
   Israel,376,2005,160875,Hombres
   Jordan,400,2005,277273,Hombres
   Kuwait,414,2005,76100,Hombres
   Lebanon,422,2005,352390,Hombres
   Oman,512,2005,10002,Hombres
   Qatar,634,2005,8915,Hombres
   Saudi Arabia,682,2005,105465,Hombres
   State of Palestine*,275,2005,1666877,Hombres
   Syrian Arab Republic,760,2005,484324,Hombres
   Turkey,792,2005,1374195,Hombres
   United Arab Emirates,784,2005,69562,Hombres
   Yemen,887,2005,412023,Hombres
 EUROPE,908,2005,24061192,Hombres
  Eastern Europe,923,2005,11423677,Hombres
   Belarus,112,2005,683202,Hombres
   Bulgaria,100,2005,426799,Hombres
   Czechia,203,2005,336590,Hombres
   Hungary,348,2005,228737,Hombres
   Poland,616,2005,1308371,Hombres
   Republic of Moldova*,498,2005,342253,Hombres
   Romania,642,2005,986924,Hombres
   Russian Federation,643,2005,4425027,Hombres
   Slovakia,703,2005,128519,Hombres
   Ukraine*,804,2005,2557255,Hombres
  Northern Europe,924,2005,3254617,Hombres
   Channel Islands*,830,2005,7167,Hombres
   Denmark*,208,2005,106327,Hombres
   Estonia,233,2005,67824,Hombres
   Faroe Islands*,234,2005,5200,Hombres
   Finland*,246,2005,121279,Hombres
   Iceland,352,2005,14160,Hombres
   Ireland,372,2005,342406,Hombres
   Isle of Man*,833,2005,4167,Hombres
   Latvia,428,2005,121873,Hombres
   Lithuania,440,2005,179732,Hombres
   Norway*,578,2005,77328,Hombres
   Sweden,752,2005,118935,Hombres
   United Kingdom*,826,2005,2088219,Hombres
  Southern Europe,925,2005,5819357,Hombres
   Albania,8,2005,517369,Hombres
   Andorra,20,2005,2741,Hombres
   Bosnia and Herzegovina,70,2005,726700,Hombres
   Croatia,191,2005,399202,Hombres
   Gibraltar*,292,2005,4743,Hombres
   Greece,300,2005,450195,Hombres
   Holy See*,336,2005,54,Hombres
   Italy,380,2005,1413246,Hombres
   Malta,470,2005,49819,Hombres
   Montenegro,499,2005,70332,Hombres
   North Macedonia,807,2005,229907,Hombres
   Portugal,620,2005,899359,Hombres
   San Marino,674,2005,1298,Hombres
   Serbia*,688,2005,491207,Hombres
   Slovenia,705,2005,52802,Hombres
   Spain*,724,2005,510383,Hombres
  Western Europe,926,2005,3563541,Hombres
   Austria,40,2005,227488,Hombres
   Belgium,56,2005,202650,Hombres
   France*,250,2005,833193,Hombres
   Germany,276,2005,1629631,Hombres
   Liechtenstein,438,2005,1307,Hombres
   Luxembourg,442,2005,26314,Hombres
   Monaco,492,2005,9580,Hombres
   Netherlands*,528,2005,397891,Hombres
   Switzerland,756,2005,235487,Hombres
 LATIN AMERICA AND THE CARIBBEAN,904,2005,14495367,Hombres
  Caribbean,915,2005,2979365,Hombres
   Anguilla*,660,2005,1220,Hombres
   Antigua and Barbuda,28,2005,16580,Hombres
   Aruba*,533,2005,4230,Hombres
   Bahamas,44,2005,15043,Hombres
   Barbados,52,2005,43951,Hombres
"   Bonaire, Sint Eustatius and Saba*",535,2005,378,Hombres
   British Virgin Islands*,92,2005,1776,Hombres
   Cayman Islands*,136,2005,590,Hombres
   Cuba,192,2005,553465,Hombres
   Curaçao*,531,2005,2327,Hombres
   Dominica,212,2005,28772,Hombres
   Dominican Republic,214,2005,430576,Hombres
   Grenada,308,2005,28858,Hombres
   Guadeloupe*,312,2005,3662,Hombres
   Haiti,332,2005,515654,Hombres
   Jamaica,388,2005,402827,Hombres
   Martinique*,474,2005,6637,Hombres
   Montserrat*,500,2005,7090,Hombres
   Puerto Rico*,630,2005,710802,Hombres
   Saint Barthélemy*,652,2005,0,Hombres
   Saint Kitts and Nevis,659,2005,15279,Hombres
   Saint Lucia,662,2005,20493,Hombres
   Saint Martin (French part)*,663,2005,0,Hombres
   Saint Vincent and the Grenadines,670,2005,26629,Hombres
   Sint Maarten (Dutch part)*,534,2005,623,Hombres
   Trinidad and Tobago,780,2005,139303,Hombres
   Turks and Caicos Islands*,796,2005,525,Hombres
   United States Virgin Islands*,850,2005,2075,Hombres
  Central America,916,2005,7424343,Hombres
   Belize,84,2005,22256,Hombres
   Costa Rica,188,2005,50583,Hombres
   El Salvador,222,2005,568376,Hombres
   Guatemala,320,2005,375251,Hombres
   Honduras,340,2005,195742,Hombres
   Mexico,484,2005,5877135,Hombres
   Nicaragua,558,2005,269682,Hombres
   Panama,591,2005,65318,Hombres
  South America,931,2005,4091659,Hombres
   Argentina,32,2005,397540,Hombres
   Bolivia (Plurinational State of),68,2005,265889,Hombres
   Brazil,76,2005,511722,Hombres
   Chile,152,2005,260036,Hombres
   Colombia,170,2005,859318,Hombres
   Ecuador,218,2005,478800,Hombres
   Falkland Islands (Malvinas)*,238,2005,467,Hombres
   French Guiana*,254,2005,1612,Hombres
   Guyana,328,2005,185054,Hombres
   Paraguay,600,2005,238432,Hombres
   Peru,604,2005,437143,Hombres
   Suriname,740,2005,115287,Hombres
   Uruguay,858,2005,146441,Hombres
   Venezuela (Bolivarian Republic of),862,2005,193918,Hombres
 NORTHERN AMERICA,905,2005,1621606,Hombres
   Bermuda*,60,2005,7391,Hombres
   Canada,124,2005,452582,Hombres
   Greenland*,304,2005,6038,Hombres
   Saint Pierre and Miquelon*,666,2005,219,Hombres
   United States of America*,840,2005,1155376,Hombres
 OCEANIA ,909,2005,680818,Hombres
  Australia and New Zealand,927,2005,481926,Hombres
   Australia*,36,2005,201054,Hombres
   New Zealand*,554,2005,280872,Hombres
  Melanesia,928,2005,85269,Hombres
   Fiji,242,2005,75347,Hombres
   New Caledonia*,540,2005,2486,Hombres
   Papua New Guinea,598,2005,2224,Hombres
   Solomon Islands,90,2005,1456,Hombres
   Vanuatu,548,2005,3756,Hombres
  Micronesia,954,2005,19834,Hombres
   Guam*,316,2005,1228,Hombres
   Kiribati,296,2005,1940,Hombres
   Marshall Islands,584,2005,3337,Hombres
   Micronesia (Fed. States of),583,2005,9227,Hombres
   Nauru,520,2005,933,Hombres
   Northern Mariana Islands*,580,2005,1346,Hombres
   Palau,585,2005,1823,Hombres
  Polynesia*,957,2005,93789,Hombres
   American Samoa*,16,2005,1327,Hombres
   Cook Islands*,184,2005,9550,Hombres
   French Polynesia*,258,2005,1370,Hombres
   Niue*,570,2005,2588,Hombres
   Samoa,882,2005,48839,Hombres
   Tokelau*,772,2005,1037,Hombres
   Tonga,776,2005,23897,Hombres
   Tuvalu,798,2005,1482,Hombres
   Wallis and Futuna Islands*,876,2005,3699,Hombres
OTHER,2003,2005,4096864,Hombres
WORLD,900,2010,113940881,Hombres
  Sub-Saharan Africa,947,2010,10531120,Hombres
  Northern Africa and Western Asia,1833,2010,14249463,Hombres
  Central and Southern Asia,921,2010,24444167,Hombres
  Eastern and South-Eastern Asia,1832,2010,15130964,Hombres
  Latin America and the Caribbean,1830,2010,16857618,Hombres
  Oceania (excluding Australia and New Zealand),1835,2010,214866,Hombres
  Australia and New Zealand,927,2010,573939,Hombres
  Europe and Northern America,1829,2010,27337252,Hombres
  Developed regions,901,2010,28263791,Hombres
  Less developed regions,902,2010,81075598,Hombres
" Less developed regions, excluding least developed countries",934,2010,61260381,Hombres
" Less developed regions, excluding China",948,2010,76484858,Hombres
  Least developed countries,941,2010,19815217,Hombres
  Land-locked Developing Countries (LLDC),1636,2010,14227283,Hombres
  Small island developing States (SIDS),1637,2010,4285399,Hombres
  High-income countries,1503,2010,21784350,Hombres
  Middle-income countries,1517,2010,75477248,Hombres
 Upper-middle-income countries,1502,2010,36086584,Hombres
 Lower-middle-income countries,1501,2010,39390664,Hombres
  Low-income countries,1500,2010,11939008,Hombres
 AFRICA,903,2010,15998855,Hombres
  Eastern Africa,910,2010,3932812,Hombres
   Burundi,108,2010,143736,Hombres
   Comoros,174,2010,54190,Hombres
   Djibouti,262,2010,7178,Hombres
   Eritrea,232,2010,172456,Hombres
   Ethiopia,231,2010,369043,Hombres
   Kenya,404,2010,213979,Hombres
   Madagascar,450,2010,64593,Hombres
   Malawi,454,2010,151191,Hombres
   Mauritius*,480,2010,67567,Hombres
   Mayotte*,175,2010,3113,Hombres
   Mozambique,508,2010,512836,Hombres
   Réunion*,638,2010,1083,Hombres
   Rwanda,646,2010,161713,Hombres
   Seychelles,690,2010,11169,Hombres
   Somalia,706,2010,839805,Hombres
   South Sudan,728,2010,209902,Hombres
   Uganda,800,2010,349440,Hombres
   United Republic of Tanzania*,834,2010,131509,Hombres
   Zambia,894,2010,86152,Hombres
   Zimbabwe,716,2010,382157,Hombres
  Middle Africa,911,2010,1495622,Hombres
   Angola,24,2010,322362,Hombres
   Cameroon,120,2010,136330,Hombres
   Central African Republic,140,2010,120235,Hombres
   Chad,148,2010,112308,Hombres
   Congo,178,2010,91205,Hombres
   Democratic Republic of the Congo,180,2010,640699,Hombres
   Equatorial Guinea,226,2010,40109,Hombres
   Gabon,266,2010,18065,Hombres
   Sao Tome and Principe,678,2010,14309,Hombres
  Northern Africa,912,2010,5467735,Hombres
   Algeria,12,2010,913853,Hombres
   Egypt,818,2010,1747685,Hombres
   Libya,434,2010,67086,Hombres
   Morocco,504,2010,1580278,Hombres
   Sudan,729,2010,707467,Hombres
   Tunisia,788,2010,361434,Hombres
   Western Sahara,732,2010,89932,Hombres
  Southern Africa,913,2010,610233,Hombres
   Botswana,72,2010,26110,Hombres
   Eswatini,748,2010,37802,Hombres
   Lesotho,426,2010,129955,Hombres
   Namibia,516,2010,48854,Hombres
   South Africa,710,2010,367512,Hombres
  Western Africa,914,2010,4492453,Hombres
   Benin,204,2010,298194,Hombres
   Burkina Faso,854,2010,801969,Hombres
   Cabo Verde,132,2010,70174,Hombres
   Côte d'Ivoire,384,2010,463697,Hombres
   Gambia,270,2010,47865,Hombres
   Ghana,288,2010,404723,Hombres
   Guinea,324,2010,256473,Hombres
   Guinea-Bissau,624,2010,49210,Hombres
   Liberia,430,2010,109053,Hombres
   Mali,466,2010,563350,Hombres
   Mauritania,478,2010,71784,Hombres
   Niger,562,2010,201800,Hombres
   Nigeria,566,2010,535088,Hombres
   Saint Helena*,654,2010,1510,Hombres
   Senegal,686,2010,344435,Hombres
   Sierra Leone,694,2010,62967,Hombres
   Togo,768,2010,210161,Hombres
 ASIA,935,2010,48356859,Hombres
  Central Asia,5500,2010,3558067,Hombres
   Kazakhstan,398,2010,1778295,Hombres
   Kyrgyzstan,417,2010,352824,Hombres
   Tajikistan,762,2010,336574,Hombres
   Turkmenistan,795,2010,112615,Hombres
   Uzbekistan,860,2010,977759,Hombres
  Eastern Asia,906,2010,6119053,Hombres
   China*,156,2010,4094711,Hombres
"   China, Hong Kong SAR*",344,2010,439136,Hombres
"   China, Macao SAR*",446,2010,56893,Hombres
"   China, Taiwan Province of China*",158,2010,0,Hombres
   Dem. People's Republic of Korea,408,2010,50274,Hombres
   Japan,392,2010,352600,Hombres
   Mongolia,496,2010,27393,Hombres
   Republic of Korea,410,2010,1098046,Hombres
  South-Eastern Asia,920,2010,9011911,Hombres
   Brunei Darussalam,96,2010,26048,Hombres
   Cambodia,116,2010,450385,Hombres
   Indonesia,360,2010,1903542,Hombres
   Lao People's Democratic Republic,418,2010,553800,Hombres
   Malaysia*,458,2010,739362,Hombres
   Myanmar,104,2010,1392913,Hombres
   Philippines,608,2010,2149714,Hombres
   Singapore,702,2010,136184,Hombres
   Thailand,764,2010,282453,Hombres
   Timor-Leste,626,2010,19023,Hombres
   Viet Nam,704,2010,1358487,Hombres
  Southern Asia,5501,2010,20886100,Hombres
   Afghanistan,4,2010,2867554,Hombres
   Bangladesh,50,2010,4104883,Hombres
   Bhutan,64,2010,46979,Hombres
   India,356,2010,8500709,Hombres
   Iran (Islamic Republic of),364,2010,530244,Hombres
   Maldives,462,2010,1712,Hombres
   Nepal,524,2010,873613,Hombres
   Pakistan,586,2010,3136466,Hombres
   Sri Lanka,144,2010,823940,Hombres
  Western Asia,922,2010,8781728,Hombres
   Armenia,51,2010,493848,Hombres
   Azerbaijan*,31,2010,618392,Hombres
   Bahrain,48,2010,27727,Hombres
   Cyprus*,196,2010,81809,Hombres
   Georgia*,268,2010,405507,Hombres
   Iraq,368,2010,1365619,Hombres
   Israel,376,2010,171967,Hombres
   Jordan,400,2010,385170,Hombres
   Kuwait,414,2010,108844,Hombres
   Lebanon,422,2010,414002,Hombres
   Oman,512,2010,11165,Hombres
   Qatar,634,2010,10713,Hombres
   Saudi Arabia,682,2010,125982,Hombres
   State of Palestine*,275,2010,1805760,Hombres
   Syrian Arab Republic,760,2010,647361,Hombres
   Turkey,792,2010,1432749,Hombres
   United Arab Emirates,784,2010,83884,Hombres
   Yemen,887,2010,591229,Hombres
 EUROPE,908,2010,25508453,Hombres
  Eastern Europe,923,2010,12346406,Hombres
   Belarus,112,2010,622606,Hombres
   Bulgaria,100,2010,512180,Hombres
   Czechia,203,2010,335913,Hombres
   Hungary,348,2010,247593,Hombres
   Poland,616,2010,1733144,Hombres
   Republic of Moldova*,498,2010,383845,Hombres
   Romania,642,2010,1580768,Hombres
   Russian Federation,643,2010,4372877,Hombres
   Slovakia,703,2010,119280,Hombres
   Ukraine*,804,2010,2438200,Hombres
  Northern Europe,924,2010,3443327,Hombres
   Channel Islands*,830,2010,7744,Hombres
   Denmark*,208,2010,111478,Hombres
   Estonia,233,2010,68652,Hombres
   Faroe Islands*,234,2010,5189,Hombres
   Finland*,246,2010,115561,Hombres
   Iceland,352,2010,16160,Hombres
   Ireland,372,2010,328010,Hombres
   Isle of Man*,833,2010,4534,Hombres
   Latvia,428,2010,122669,Hombres
   Lithuania,440,2010,225126,Hombres
   Norway*,578,2010,80335,Hombres
   Sweden,752,2010,129495,Hombres
