Region,Notes,Location code,Type of data,Year,Tasa de Cambio Anual,Género
   Curaçao*,20.0,531,B R,2010-2015,1.7,Combinado
   Dominica,0,212,B,2010-2015,0.0,Combinado
   Dominican Republic,0,214,B R,2010-2015,6.6,Combinado
   Grenada,0,308,B,2010-2015,0.2,Combinado
   Guadeloupe*,21.0,312,B,2010-2015,-0.9,Combinado
   Haiti,0,332,B R,2010-2015,1.0,Combinado
   Jamaica,0,388,B R,2010-2015,-0.4,Combinado
   Martinique*,22.0,474,B R,2010-2015,3.0,Combinado
   Montserrat*,23.0,500,B,2010-2015,0.9,Combinado
   Puerto Rico*,24.0,630,B,2010-2015,-1.7,Combinado
   Saint Barthélemy*,0,652,0,2010-2015,0.0,Combinado
   Saint Kitts and Nevis,0,659,B R,2010-2015,0.5,Combinado
   Saint Lucia,0,662,B R,2010-2015,-0.9,Combinado
   Saint Martin (French part)*,0,663,0,2010-2015,0.0,Combinado
   Saint Vincent and the Grenadines,0,670,B R,2010-2015,0.3,Combinado
   Sint Maarten (Dutch part)*,25.0,534,B R,2010-2015,0.8,Combinado
   Trinidad and Tobago,0,780,B R,2010-2015,0.7,Combinado
   Turks and Caicos Islands*,26.0,796,B R,2010-2015,5.6,Combinado
   United States Virgin Islands*,27.0,850,B,2010-2015,0.0,Combinado
   Belize,0,84,B R ,2010-2015,3.3,Combinado
   Costa Rica,0,188,B R,2010-2015,0.3,Combinado
   El Salvador,0,222,B R,2010-2015,0.8,Combinado
   Guatemala,0,320,B R,2010-2015,2.4,Combinado
   Honduras,0,340,B R,2010-2015,6.8,Combinado
   Mexico,0,484,B R,2010-2015,0.9,Combinado
   Nicaragua,0,558,B R,2010-2015,1.5,Combinado
   Panama,0,591,B R,2010-2015,3.2,Combinado
   Argentina,0,32,B R,2010-2015,2.9,Combinado
   Bolivia (Plurinational State of),0,68,B R,2010-2015,3.0,Combinado
   Brazil,0,76,B R,2010-2015,3.6,Combinado
   Chile,0,152,B,2010-2015,10.7,Combinado
   Colombia,0,170,B,2010-2015,4.0,Combinado
   Ecuador,0,218,B R,2010-2015,0.6,Combinado
   Falkland Islands (Malvinas)*,28.0,238,B,2010-2015,1.8,Combinado
   French Guiana*,29.0,254,B R,2010-2015,1.9,Combinado
   Guyana,0,328,B R,2010-2015,1.1,Combinado
   Paraguay,0,600,B R,2010-2015,-0.5,Combinado
   Peru,0,604,B R,2010-2015,7.8,Combinado
   Suriname,0,740,C R,2010-2015,1.6,Combinado
   Uruguay,0,858,B R,2010-2015,0.6,Combinado
   Venezuela (Bolivarian Republic of),0,862,B R,2010-2015,0.8,Combinado
   Bermuda*,30.0,60,B,2010-2015,0.7,Combinado
   Canada,0,124,B,2010-2015,1.9,Combinado
   Greenland*,31.0,304,B,2010-2015,-0.3,Combinado
   Saint Pierre and Miquelon*,32.0,666,B,2010-2015,-0.6,Combinado
   United States of America*,33.0,840,B,2010-2015,1.7,Combinado
   Australia*,0,36,B,2010-2015,2.7,Combinado
   New Zealand*,34.0,554,B,2010-2015,1.9,Combinado
   Fiji,0,242,B R,2010-2015,0.6,Combinado
   New Caledonia*,0,540,B,2010-2015,2.4,Combinado
   Papua New Guinea,0,598,C R,2010-2015,0.3,Combinado
   Solomon Islands,0,90,B R,2010-2015,-1.3,Combinado
   Vanuatu,0,548,B R,2010-2015,1.3,Combinado
   Guam*,35.0,316,B,2010-2015,0.2,Combinado
   Kiribati,0,296,B,2010-2015,0.4,Combinado
   Marshall Islands,0,584,B,2010-2015,1.2,Combinado
   Micronesia (Fed. States of),0,583,B,2010-2015,-0.4,Combinado
   Nauru,0,520,C R,2010-2015,14.1,Combinado
   Northern Mariana Islands*,36.0,580,B,2010-2015,-2.2,Combinado
   Palau,0,585,B,2010-2015,-2.1,Combinado
  Polynesia*,0,957,0,2010-2015,-0.8,Combinado
   American Samoa*,0,16,B,2010-2015,0.0,Combinado
   Cook Islands*,37.0,184,B R,2010-2015,2.0,Combinado
   French Polynesia*,38.0,258,B R,2010-2015,-1.0,Combinado
   Niue*,39.0,570,B,2010-2015,0.0,Combinado
   Samoa,0,882,B R,2010-2015,-3.7,Combinado
   Tokelau*,40.0,772,B R,2010-2015,1.0,Combinado
   Tonga,0,776,B R,2010-2015,-3.1,Combinado
   Tuvalu,0,798,C,2010-2015,0.9,Combinado
   Wallis and Futuna Islands*,41.0,876,B R,2010-2015,-0.6,Combinado
   Burundi,0,108,B R,2015-2020,2.9,Combinado
   Comoros,0,174,B,2015-2020,-0.1,Combinado
   Djibouti,0,262,B R,2015-2020,1.3,Combinado
   Eritrea,0,232,I R,2015-2020,-2.7,Combinado
   Ethiopia,0,231,B R,2015-2020,-1.4,Combinado
   Kenya,0,404,B R,2015-2020,-1.4,Combinado
   Madagascar,0,450,C R,2015-2020,2.1,Combinado
   Malawi,0,454,B R,2015-2020,-0.6,Combinado
   Mauritius*,0,480,C,2015-2020,0.2,Combinado
   Mayotte*,1.0,175,B R,2015-2020,6.3,Combinado
   Mozambique,0,508,B R,2015-2020,1.0,Combinado
   Réunion*,2.0,638,B,2015-2020,0.7,Combinado
   Rwanda,0,646,B R,2015-2020,0.0,Combinado
   Seychelles,0,690,B,2015-2020,0.4,Combinado
   Somalia,0,706,I R,2015-2020,7.1,Combinado
   South Sudan,0,728,B R,2015-2020,0.9,Combinado
   Uganda,0,800,B R,2015-2020,14.1,Combinado
   United Republic of Tanzania*,0,834,B R,2015-2020,2.0,Combinado
   Zambia,0,894,B R,2015-2020,7.1,Combinado
   Zimbabwe,0,716,B R,2015-2020,0.8,Combinado
   Angola,0,24,B R,2015-2020,0.8,Combinado
   Cameroon,0,120,B R,2015-2020,2.6,Combinado
   Central African Republic,0,140,C R,2015-2020,1.6,Combinado
   Chad,0,148,B R,2015-2020,3.2,Combinado
   Congo,0,178,B R,2015-2020,-0.1,Combinado
   Democratic Republic of the Congo,0,180,B R,2015-2020,3.2,Combinado
   Equatorial Guinea,0,226,C,2015-2020,1.9,Combinado
   Gabon,0,266,C R,2015-2020,1.9,Combinado
   Sao Tome and Principe,0,678,C,2015-2020,-2.3,Combinado
   Algeria,0,12,B R,2015-2020,0.9,Combinado
   Egypt,0,818,B R,2015-2020,8.6,Combinado
   Libya,0,434,C R,2015-2020,1.4,Combinado
   Morocco,0,504,C R,2015-2020,2.0,Combinado
   Sudan,3.0,729,B R,2015-2020,16.0,Combinado
   Tunisia,0,788,C R,2015-2020,1.2,Combinado
   Western Sahara,0,732,I,2015-2020,0.9,Combinado
   Botswana,0,72,B R,2015-2020,1.4,Combinado
   Eswatini,0,748,B R,2015-2020,0.3,Combinado
   Lesotho,0,426,C R,2015-2020,5.5,Combinado
   Namibia,0,516,B R,2015-2020,1.5,Combinado
   Benin,0,204,C B R,2015-2020,1.5,Combinado
   Burkina Faso,0,854,B R,2015-2020,0.5,Combinado
   Cabo Verde,0,132,B R,2015-2020,1.1,Combinado
   Côte d'Ivoire,0,384,C B R,2015-2020,0.7,Combinado
   Gambia,0,270,B R,2015-2020,2.3,Combinado
   Ghana,0,288,B R,2015-2020,2.8,Combinado
   Guinea,0,324,C B R,2015-2020,-0.8,Combinado
   Guinea-Bissau,0,624,B R,2015-2020,-4.4,Combinado
   Liberia,0,430,B R,2015-2020,-4.9,Combinado
   Mali,0,466,B R,2015-2020,2.9,Combinado
   Mauritania,0,478,C R,2015-2020,1.8,Combinado
   Niger,0,562,B R,2015-2020,6.4,Combinado
   Nigeria,0,566,C R,2015-2020,1.7,Combinado
   Saint Helena*,4.0,654,C,2015-2020,3.0,Combinado
   Senegal,0,686,B R,2015-2020,0.6,Combinado
   Sierra Leone,0,694,B R,2015-2020,-1.8,Combinado
   Togo,0,768,C R,2015-2020,0.2,Combinado
   Kazakhstan,0,398,B R,2015-2020,1.0,Combinado
   Kyrgyzstan,0,417,B R,2015-2020,-0.5,Combinado
   Tajikistan,0,762,B R,2015-2020,0.1,Combinado
   Turkmenistan,0,795,B R,2015-2020,-0.1,Combinado
   Uzbekistan,0,860,B R,2015-2020,-0.2,Combinado
   China*,0,156,C,2015-2020,1.2,Combinado
"   China, Hong Kong SAR*",0,344,B R,2015-2020,0.8,Combinado
"   China, Macao SAR*",0,446,B,2015-2020,1.4,Combinado
"   China, Taiwan Province of China*",0,158,0,2015-2020,0.0,Combinado
   Dem. People's Republic of Korea,0,408,I,2015-2020,0.4,Combinado
   Japan,0,392,C,2015-2020,4.3,Combinado
   Mongolia,0,496,C R,2015-2020,1.4,Combinado
   Republic of Korea,0,410,C R,2015-2020,4.6,Combinado
   Brunei Darussalam,0,96,B,2015-2020,1.7,Combinado
   Cambodia,0,116,B R,2015-2020,1.4,Combinado
   Indonesia,0,360,B R,2015-2020,1.0,Combinado
   Lao People's Democratic Republic,0,418,C R,2015-2020,1.4,Combinado
   Malaysia*,0,458,C R,2015-2020,1.2,Combinado
   Myanmar,0,104,C,2015-2020,0.8,Combinado
   Philippines,0,608,C R,2015-2020,1.2,Combinado
   Singapore,0,702,B,2015-2020,0.3,Combinado
   Thailand,0,764,B R,2015-2020,0.9,Combinado
   Timor-Leste,0,626,B R,2015-2020,-0.3,Combinado
   Viet Nam,0,704,C R,2015-2020,1.1,Combinado
   Afghanistan,0,4,B R,2015-2020,-17.1,Combinado
   Bangladesh,0,50,B R,2015-2020,7.9,Combinado
   Bhutan,0,64,B,2015-2020,1.0,Combinado
   India,0,356,B R,2015-2020,-1.3,Combinado
   Iran (Islamic Republic of),0,364,C R,2015-2020,0.5,Combinado
   Maldives,0,462,C,2015-2020,1.7,Combinado
   Nepal,0,524,B R,2015-2020,-0.9,Combinado
   Pakistan,0,586,B R,2015-2020,-1.4,Combinado
   Sri Lanka,0,144,B R,2015-2020,0.3,Combinado
   Armenia,0,51,B R,2015-2020,-0.1,Combinado
   Azerbaijan*,0,31,B R,2015-2020,-0.9,Combinado
   Bahrain,0,48,C R,2015-2020,5.2,Combinado
   Cyprus*,0,196,B,2015-2020,1.5,Combinado
   Georgia*,0,268,B R,2015-2020,0.7,Combinado
   Iraq,0,368,C R,2015-2020,0.4,Combinado
   Israel,0,376,B R,2015-2020,-0.6,Combinado
   Jordan,0,400,C R,2015-2020,1.8,Combinado
   Kuwait,0,414,C R,2015-2020,1.6,Combinado
   Lebanon,0,422,B R,2015-2020,-2.2,Combinado
   Oman,0,512,C R,2015-2020,4.9,Combinado
   Qatar,0,634,C,2015-2020,5.5,Combinado
   Saudi Arabia,0,682,C R,2015-2020,4.4,Combinado
   State of Palestine*,5.0,275,B,2015-2020,0.0,Combinado
   Syrian Arab Republic,0,760,C R,2015-2020,0.8,Combinado
   Turkey,0,792,B R,2015-2020,6.6,Combinado
   United Arab Emirates,0,784,C R,2015-2020,1.7,Combinado
   Yemen,0,887,C R,2015-2020,0.4,Combinado
   Belarus,0,112,B,2015-2020,-0.3,Combinado
   Bulgaria,0,100,B,2015-2020,8.0,Combinado
   Czechia,0,203,C,2015-2020,5.2,Combinado
   Hungary,0,348,B,2015-2020,4.1,Combinado
   Poland,0,616,B,2015-2020,5.8,Combinado
   Republic of Moldova*,0,498,B,2015-2020,-0.4,Combinado
   Romania,0,642,B,2015-2020,18.4,Combinado
   Russian Federation,0,643,B,2015-2020,0.0,Combinado
   Slovakia,0,703,B,2015-2020,2.1,Combinado
   Ukraine*,0,804,B,2015-2020,0.3,Combinado
   Channel Islands*,6.0,830,B,2015-2020,0.4,Combinado
   Denmark*,7.0,208,B,2015-2020,3.7,Combinado
   Estonia,0,233,B,2015-2020,0.5,Combinado
   Faroe Islands*,8.0,234,B,2015-2020,4.3,Combinado
   Finland*,0,246,B,2015-2020,4.1,Combinado
   Iceland,0,352,B,2015-2020,10.3,Combinado
   Ireland,0,372,B,2015-2020,2.8,Combinado
   Isle of Man*,9.0,833,B,2015-2020,0.4,Combinado
   Latvia,0,428,B,2015-2020,-2.1,Combinado
   Lithuania,0,440,B,2015-2020,1.3,Combinado
   Norway*,0,578,B,2015-2020,2.7,Combinado
   Sweden,0,752,B,2015-2020,4.5,Combinado
   United Kingdom*,10.0,826,B,2015-2020,2.1,Combinado
   Albania,0,8,B,2015-2020,-1.3,Combinado
   Andorra,0,20,C,2015-2020,1.5,Combinado
   Bosnia and Herzegovina,0,70,I R,2015-2020,-1.4,Combinado
   Croatia,0,191,B,2015-2020,-1.2,Combinado
   Gibraltar*,11.0,292,B,2015-2020,0.2,Combinado
   Greece,0,300,B,2015-2020,1.5,Combinado
   Holy See*,0,336,I,2015-2020,0.5,Combinado
   Italy,0,380,B,2015-2020,1.9,Combinado
   Malta,0,470,B,2015-2020,15.6,Combinado
   Montenegro,0,499,B,2015-2020,-0.2,Combinado
   North Macedonia,0,807,B,2015-2020,0.1,Combinado
   Portugal,0,620,B,2015-2020,2.9,Combinado
   San Marino,0,674,C,2015-2020,1.3,Combinado
   Serbia*,0,688,B,2015-2020,0.4,Combinado
   Slovenia,0,705,B,2015-2020,3.1,Combinado
   Spain*,0,724,B,2015-2020,3.0,Combinado
   Austria,0,40,B,2015-2020,3.2,Combinado
   Belgium,0,56,B,2015-2020,2.3,Combinado
   France*,12.0,250,B,2015-2020,1.6,Combinado
   Germany,0,276,B,2015-2020,8.7,Combinado
   Liechtenstein,0,438,B,2015-2020,1.7,Combinado
   Luxembourg,0,442,B,2015-2020,3.6,Combinado
   Monaco,0,492,B,2015-2020,0.5,Combinado
   Netherlands*,13.0,528,B,2015-2020,3.3,Combinado
   Switzerland,0,756,B,2015-2020,2.0,Combinado
   Anguilla*,14.0,660,B R,2015-2020,0.9,Combinado
   Antigua and Barbuda,0,28,B R,2015-2020,0.9,Combinado
   Aruba*,15.0,533,B R,2015-2020,7.9,Combinado
   Bahamas,0,44,B R,2015-2020,1.4,Combinado
   Barbados,0,52,B R,2015-2020,0.2,Combinado
"   Bonaire, Sint Eustatius and Saba*",16.0,535,B,2015-2020,1.3,Combinado
   British Virgin Islands*,18.0,92,B R,2015-2020,2.5,Combinado
   Cayman Islands*,19.0,136,C R,2015-2020,2.2,Combinado
   Cuba,0,192,B,2015-2020,-8.6,Combinado
   Curaçao*,20.0,531,B R,2015-2020,8.4,Combinado
   Dominica,0,212,B,2015-2020,0.5,Combinado
   Dominican Republic,0,214,B R,2015-2020,1.9,Combinado
   Grenada,0,308,B,2015-2020,0.4,Combinado
   Guadeloupe*,21.0,312,B,2015-2020,-0.2,Combinado
   Haiti,0,332,B R,2015-2020,0.9,Combinado
   Jamaica,0,388,B R,2015-2020,0.4,Combinado
   Martinique*,22.0,474,B R,2015-2020,-0.2,Combinado
   Montserrat*,23.0,500,B,2015-2020,0.4,Combinado
   Puerto Rico*,24.0,630,B,2015-2020,-2.5,Combinado
   Saint Barthélemy*,0,652,0,2015-2020,0.0,Combinado
   Saint Kitts and Nevis,0,659,B R,2015-2020,0.7,Combinado
   Saint Lucia,0,662,B R,2015-2020,-0.8,Combinado
   Saint Martin (French part)*,0,663,0,2015-2020,0.0,Combinado
   Saint Vincent and the Grenadines,0,670,B R,2015-2020,0.4,Combinado
   Sint Maarten (Dutch part)*,25.0,534,B R,2015-2020,1.1,Combinado
   Trinidad and Tobago,0,780,B R,2015-2020,9.1,Combinado
   Turks and Caicos Islands*,26.0,796,B R,2015-2020,2.5,Combinado
   United States Virgin Islands*,27.0,850,B,2015-2020,0.0,Combinado
   Belize,0,84,B R ,2015-2020,2.6,Combinado
   Costa Rica,0,188,B R,2015-2020,4.7,Combinado
   El Salvador,0,222,B R,2015-2020,0.3,Combinado
   Guatemala,0,320,B R,2015-2020,2.4,Combinado
   Honduras,0,340,B R,2015-2020,0.4,Combinado
   Mexico,0,484,B R,2015-2020,3.3,Combinado
   Nicaragua,0,558,B R,2015-2020,0.9,Combinado
   Panama,0,591,B R,2015-2020,10.6,Combinado
   Argentina,0,32,B R,2015-2020,1.8,Combinado
   Bolivia (Plurinational State of),0,68,B R,2015-2020,2.8,Combinado
   Brazil,0,76,B R,2015-2020,8.4,Combinado
   Chile,0,152,B,2015-2020,18.9,Combinado
   Colombia,0,170,B,2015-2020,49.6,Combinado
   Ecuador,0,218,B R,2015-2020,14.1,Combinado
   Falkland Islands (Malvinas)*,28.0,238,B,2015-2020,4.4,Combinado
   French Guiana*,29.0,254,B R,2015-2020,2.3,Combinado
   Guyana,0,328,B R,2015-2020,25.6,Combinado
   Paraguay,0,600,B R,2015-2020,1.6,Combinado
   Peru,0,604,B R,2015-2020,41.4,Combinado
   Suriname,0,740,C R,2015-2020,2.1,Combinado
   Uruguay,0,858,B R,2015-2020,6.4,Combinado
   Venezuela (Bolivarian Republic of),0,862,B R,2015-2020,-1.2,Combinado
   Bermuda*,30.0,60,B,2015-2020,0.5,Combinado
   Canada,0,124,B,2015-2020,1.6,Combinado
   Greenland*,31.0,304,B,2015-2020,-0.4,Combinado
   Saint Pierre and Miquelon*,32.0,666,B,2015-2020,0.2,Combinado
   United States of America*,33.0,840,B,2015-2020,1.0,Combinado
   Australia*,0,36,B,2015-2020,2.7,Combinado
   New Zealand*,34.0,554,B,2015-2020,5.7,Combinado
   Fiji,0,242,B R,2015-2020,0.5,Combinado
   New Caledonia*,0,540,B,2015-2020,1.2,Combinado
   Papua New Guinea,0,598,C R,2015-2020,0.1,Combinado
   Solomon Islands,0,90,B R,2015-2020,-0.5,Combinado
   Vanuatu,0,548,B R,2015-2020,0.4,Combinado
   Guam*,35.0,316,B,2015-2020,1.1,Combinado
   Kiribati,0,296,B,2015-2020,1.4,Combinado
   Marshall Islands,0,584,B,2015-2020,0.1,Combinado
   Micronesia (Fed. States of),0,583,B,2015-2020,0.5,Combinado
   Nauru,0,520,C R,2015-2020,3.7,Combinado
   Northern Mariana Islands*,36.0,580,B,2015-2020,0.2,Combinado
   Palau,0,585,B,2015-2020,0.6,Combinado
  Polynesia*,0,957,0,2015-2020,0.0,Combinado
   American Samoa*,0,16,B,2015-2020,0.1,Combinado
   Cook Islands*,37.0,184,B R,2015-2020,1.9,Combinado
   French Polynesia*,38.0,258,B R,2015-2020,0.0,Combinado
   Niue*,39.0,570,B,2015-2020,0.0,Combinado
   Samoa,0,882,B R,2015-2020,-1.1,Combinado
   Tokelau*,40.0,772,B R,2015-2020,0.9,Combinado
   Tonga,0,776,B R,2015-2020,-1.1,Combinado
   Tuvalu,0,798,C,2015-2020,0.8,Combinado
   Wallis and Futuna Islands*,41.0,876,B R,2015-2020,-0.1,Combinado
   Burundi,0,108,B R,1990-1995.1,-5.5,Hombres
   Comoros,0,174,B,1990-1995.1,-0.3,Hombres
   Djibouti,0,262,B R,1990-1995.1,-4.0,Hombres
   Eritrea,0,232,I R,1990-1995.1,1.0,Hombres
   Ethiopia,0,231,B R,1990-1995.1,-7.2,Hombres
   Kenya,0,404,B R,1990-1995.1,13.8,Hombres
   Madagascar,0,450,C R,1990-1995.1,-2.3,Hombres
   Malawi,0,454,B R,1990-1995.1,-31.0,Hombres
   Mauritius*,0,480,C,1990-1995.1,12.1,Hombres
   Mayotte*,1.0,175,B R,1990-1995.1,10.3,Hombres
   Mozambique,0,508,B R,1990-1995.1,6.5,Hombres
   Réunion*,2.0,638,B,1990-1995.1,5.6,Hombres
   Rwanda,0,646,B R,1990-1995.1,6.1,Hombres
   Seychelles,0,690,B,1990-1995.1,6.3,Hombres
   Somalia,0,706,I R,1990-1995.1,-63.4,Hombres
   South Sudan,0,728,B R,1990-1995.1,0.0,Hombres
   Uganda,0,800,B R,1990-1995.1,1.7,Hombres
   United Republic of Tanzania*,0,834,B R,1990-1995.1,13.2,Hombres
   Zambia,0,894,B R,1990-1995.1,-2.6,Hombres
   Zimbabwe,0,716,B R,1990-1995.1,-7.4,Hombres
   Angola,0,24,B R,1990-1995.1,2.7,Hombres
   Cameroon,0,120,B R,1990-1995.1,-1.7,Hombres
   Central African Republic,0,140,C R,1990-1995.1,7.9,Hombres
   Chad,0,148,B R,1990-1995.1,3.7,Hombres
   Congo,0,178,B R,1990-1995.1,8.0,Hombres
   Democratic Republic of the Congo,0,180,B R,1990-1995.1,18.2,Hombres
   Equatorial Guinea,0,226,C,1990-1995.1,5.5,Hombres
   Gabon,0,266,C R,1990-1995.1,5.8,Hombres
   Sao Tome and Principe,0,678,C,1990-1995.1,-3.0,Hombres
   Algeria,0,12,B R,1990-1995.1,-0.9,Hombres
   Egypt,0,818,B R,1990-1995.1,-0.8,Hombres
   Libya,0,434,C R,1990-1995.1,4.3,Hombres
   Morocco,0,504,C R,1990-1995.1,-2.0,Hombres
   Sudan,3.0,729,B R,1990-1995.1,-5.6,Hombres
   Tunisia,0,788,C R,1990-1995.1,0.2,Hombres
   Western Sahara,0,732,I,1990-1995.1,2.4,Hombres
   Botswana,0,72,B R,1990-1995.1,6.9,Hombres
   Eswatini,0,748,B R,1990-1995.1,-15.2,Hombres
   Lesotho,0,426,C R,1990-1995.1,-2.4,Hombres
   Namibia,0,516,B R,1990-1995.1,-0.8,Hombres
   Benin,0,204,C B R,1990-1995.1,6.6,Hombres
   Burkina Faso,0,854,B R,1990-1995.1,5.7,Hombres
   Cabo Verde,0,132,B R,1990-1995.1,2.8,Hombres
   Côte d'Ivoire,0,384,C B R,1990-1995.1,2.6,Hombres
   Gambia,0,270,B R,1990-1995.1,4.3,Hombres
   Ghana,0,288,B R,1990-1995.1,8.6,Hombres
   Guinea,0,324,C B R,1990-1995.1,13.1,Hombres
   Guinea-Bissau,0,624,B R,1990-1995.1,11.7,Hombres
   Liberia,0,430,B R,1990-1995.1,14.6,Hombres
   Mali,0,466,B R,1990-1995.1,2.0,Hombres
   Mauritania,0,478,C R,1990-1995.1,-4.1,Hombres
   Niger,0,562,B R,1990-1995.1,4.7,Hombres
   Nigeria,0,566,C R,1990-1995.1,0.1,Hombres
   Saint Helena*,4.0,654,C,1990-1995.1,-9.0,Hombres
   Senegal,0,686,B R,1990-1995.1,1.2,Hombres
   Sierra Leone,0,694,B R,1990-1995.1,-15.7,Hombres
   Togo,0,768,C R,1990-1995.1,3.4,Hombres
   Kazakhstan,0,398,B R,1990-1995.1,-2.1,Hombres
   Kyrgyzstan,0,417,B R,1990-1995.1,-3.7,Hombres
   Tajikistan,0,762,B R,1990-1995.1,-4.3,Hombres
   Turkmenistan,0,795,B R,1990-1995.1,-0.3,Hombres
   Uzbekistan,0,860,B R,1990-1995.1,-1.9,Hombres
   China*,0,156,C,1990-1995.1,3.0,Hombres
"   China, Hong Kong SAR*",0,344,B R,1990-1995.1,0.9,Hombres
"   China, Macao SAR*",0,446,B,1990-1995.1,1.5,Hombres
"   China, Taiwan Province of China*",0,158,0,1990-1995.1,0.0,Hombres
   Dem. People's Republic of Korea,0,408,I,1990-1995.1,0.2,Hombres
   Japan,0,392,C,1990-1995.1,4.7,Hombres
   Mongolia,0,496,C R,1990-1995.1,2.9,Hombres
   Republic of Korea,0,410,C R,1990-1995.1,21.3,Hombres
   Brunei Darussalam,0,96,B,1990-1995.1,2.7,Hombres
   Cambodia,0,116,B R,1990-1995.1,17.3,Hombres
   Indonesia,0,360,B R,1990-1995.1,-3.6,Hombres
   Lao People's Democratic Republic,0,418,C R,1990-1995.1,0.7,Hombres
   Malaysia*,0,458,C R,1990-1995.1,5.5,Hombres
   Myanmar,0,104,C,1990-1995.1,-3.2,Hombres
   Philippines,0,608,C R,1990-1995.1,5.6,Hombres
   Singapore,0,702,B,1990-1995.1,5.5,Hombres
   Thailand,0,764,B R,1990-1995.1,8.2,Hombres
   Timor-Leste,0,626,B R,1990-1995.1,1.4,Hombres
   Viet Nam,0,704,C R,1990-1995.1,12.3,Hombres
   Afghanistan,0,4,B R,1990-1995.1,3.7,Hombres
   Bangladesh,0,50,B R,1990-1995.1,1.1,Hombres
   Bhutan,0,64,B,1990-1995.1,3.2,Hombres
   India,0,356,B R,1990-1995.1,-1.9,Hombres
   Iran (Islamic Republic of),0,364,C R,1990-1995.1,-7.7,Hombres
   Maldives,0,462,C,1990-1995.1,13.2,Hombres
   Nepal,0,524,B R,1990-1995.1,10.9,Hombres
   Pakistan,0,586,B R,1990-1995.1,-10.3,Hombres
   Sri Lanka,0,144,B R,1990-1995.1,-0.6,Hombres
   Armenia,0,51,B R,1990-1995.1,1.0,Hombres
   Azerbaijan*,0,31,B R,1990-1995.1,-1.1,Hombres
   Bahrain,0,48,C R,1990-1995.1,3.2,Hombres
   Cyprus*,0,196,B,1990-1995.1,6.0,Hombres
   Georgia*,0,268,B R,1990-1995.1,-13.9,Hombres
   Iraq,0,368,C R,1990-1995.1,14.4,Hombres
   Israel,0,376,B R,1990-1995.1,1.5,Hombres
   Jordan,0,400,C R,1990-1995.1,5.8,Hombres
   Kuwait,0,414,C R,1990-1995.1,-2.0,Hombres
   Lebanon,0,422,B R,1990-1995.1,3.0,Hombres
   Oman,0,512,C R,1990-1995.1,10.9,Hombres
   Qatar,0,634,C,1990-1995.1,3.6,Hombres
   Saudi Arabia,0,682,C R,1990-1995.1,0.5,Hombres
   State of Palestine*,5.0,275,B,1990-1995.1,-0.6,Hombres
   Syrian Arab Republic,0,760,C R,1990-1995.1,3.0,Hombres
   Turkey,0,792,B R,1990-1995.1,0.6,Hombres
   United Arab Emirates,0,784,C R,1990-1995.1,6.8,Hombres
   Yemen,0,887,C R,1990-1995.1,3.0,Hombres
   Belarus,0,112,B,1990-1995.1,-1.0,Hombres
   Bulgaria,0,100,B,1990-1995.1,8.2,Hombres
   Czechia,0,203,C,1990-1995.1,8.6,Hombres
   Hungary,0,348,B,1990-1995.1,-1.2,Hombres
   Poland,0,616,B,1990-1995.1,-3.5,Hombres
   Republic of Moldova*,0,498,B,1990-1995.1,-8.5,Hombres
   Romania,0,642,B,1990-1995.1,1.0,Hombres
   Russian Federation,0,643,B,1990-1995.1,0.9,Hombres
   Slovakia,0,703,B,1990-1995.1,10.4,Hombres
   Ukraine*,0,804,B,1990-1995.1,-2.2,Hombres
   Channel Islands*,6.0,830,B,1990-1995.1,-0.4,Hombres
   Denmark*,7.0,208,B,1990-1995.1,5.0,Hombres
   Estonia,0,233,B,1990-1995.1,-4.6,Hombres
   Faroe Islands*,8.0,234,B,1990-1995.1,-8.8,Hombres
   Finland*,0,246,B,1990-1995.1,9.0,Hombres
   Iceland,0,352,B,1990-1995.1,6.0,Hombres
   Ireland,0,372,B,1990-1995.1,-0.7,Hombres
   Isle of Man*,9.0,833,B,1990-1995.1,1.4,Hombres
   Latvia,0,428,B,1990-1995.1,-4.3,Hombres
   Lithuania,0,440,B,1990-1995.1,-4.9,Hombres
   Norway*,0,578,B,1990-1995.1,3.3,Hombres
   Sweden,0,752,B,1990-1995.1,3.3,Hombres
   United Kingdom*,10.0,826,B,1990-1995.1,2.4,Hombres
   Albania,0,8,B,1990-1995.1,1.7,Hombres
   Andorra,0,20,C,1990-1995.1,2.3,Hombres
   Bosnia and Herzegovina,0,70,I R,1990-1995.1,4.4,Hombres
   Croatia,0,191,B,1990-1995.1,7.0,Hombres
   Gibraltar*,11.0,292,B,1990-1995.1,-1.5,Hombres
   Greece,0,300,B,1990-1995.1,6.0,Hombres
   Holy See*,0,336,I,1990-1995.1,0.2,Hombres
   Italy,0,380,B,1990-1995.1,4.6,Hombres
   Malta,0,470,B,1990-1995.1,3.5,Hombres
   Montenegro,0,499,B,1990-1995.1,0.0,Hombres
   North Macedonia,0,807,B,1990-1995.1,2.8,Hombres
   Portugal,0,620,B,1990-1995.1,4.2,Hombres
   San Marino,0,674,C,1990-1995.1,2.3,Hombres
   Serbia*,0,688,B,1990-1995.1,42.4,Hombres
   Slovenia,0,705,B,1990-1995.1,0.2,Hombres
   Spain*,0,724,B,1990-1995.1,4.9,Hombres
   Austria,0,40,B,1990-1995.1,2.8,Hombres
   Belgium,0,56,B,1990-1995.1,-0.1,Hombres
   France*,12.0,250,B,1990-1995.1,0.3,Hombres
