"Region, development group, country or area",Notes,Location code,Type of data,Year,Numero de Migrantes,Género
   Kenya,0,404,B R,2010C,2.3,Combinado
   Madagascar,0,450,C R,2010C,0.1,Combinado
   Malawi,0,454,B R,2010C,1.5,Combinado
   Mauritius*,0,480,C,2010C,2.0,Combinado
   Mayotte*,1.0,175,B R,2010C,34.9,Combinado
   Mozambique,0,508,B R,2010C,1.3,Combinado
   Réunion*,2.0,638,B,2010C,14.8,Combinado
   Rwanda,0,646,B R,2010C,4.3,Combinado
   Seychelles,0,690,B,2010C,12.5,Combinado
   Somalia,0,706,I R,2010C,0.4,Combinado
   South Sudan,0,728,B R,2010C,2.4,Combinado
   Uganda,0,800,B R,2010C,1.5,Combinado
   United Republic of Tanzania*,0,834,B R,2010C,0.7,Combinado
   Zambia,0,894,B R,2010C,1.1,Combinado
   Zimbabwe,0,716,B R,2010C,3.1,Combinado
  Middle Africa,0,911,0,2010C,1.9,Combinado
   Angola,0,24,B R,2010C,1.4,Combinado
   Cameroon,0,120,B R,2010C,1.4,Combinado
   Central African Republic,0,140,C R,2010C,2.2,Combinado
   Chad,0,148,B R,2010C,3.5,Combinado
   Congo,0,178,B R,2010C,9.9,Combinado
   Democratic Republic of the Congo,0,180,B R,2010C,0.9,Combinado
   Equatorial Guinea,0,226,C,2010C,0.9,Combinado
   Gabon,0,266,C R,2010C,16.7,Combinado
   Sao Tome and Principe,0,678,C,2010C,1.5,Combinado
  Northern Africa,0,912,0,2010C,1.0,Combinado
   Algeria,0,12,B R,2010C,0.6,Combinado
   Egypt,0,818,B R,2010C,0.4,Combinado
   Libya,0,434,C R,2010C,11.1,Combinado
   Morocco,0,504,C R,2010C,0.2,Combinado
   Sudan,3.0,729,B R,2010C,1.8,Combinado
   Tunisia,0,788,C R,2010C,0.4,Combinado
   Western Sahara,0,732,I,2010C,0.9,Combinado
  Southern Africa,0,913,0,2010C,4.0,Combinado
   Botswana,0,72,B R,2010C,4.8,Combinado
   Eswatini,0,748,B R,2010C,3.1,Combinado
   Lesotho,0,426,C R,2010C,0.3,Combinado
   Namibia,0,516,B R,2010C,4.9,Combinado
   South Africa,0,710,B R,2010C,4.1,Combinado
  Western Africa,0,914,0,2010C,2.1,Combinado
   Benin,0,204,C B R,2010C,3.4,Combinado
   Burkina Faso,0,854,B R,2010C,4.3,Combinado
   Cabo Verde,0,132,B R,2010C,2.9,Combinado
   Côte d'Ivoire,0,384,C B R,2010C,11.5,Combinado
   Gambia,0,270,B R,2010C,10.4,Combinado
   Ghana,0,288,B R,2010C,1.4,Combinado
   Guinea,0,324,C B R,2010C,1.8,Combinado
   Guinea-Bissau,0,624,B R,2010C,1.4,Combinado
   Liberia,0,430,B R,2010C,2.5,Combinado
   Mali,0,466,B R,2010C,2.3,Combinado
   Mauritania,0,478,C R,2010C,2.4,Combinado
   Niger,0,562,B R,2010C,0.8,Combinado
   Nigeria,0,566,C R,2010C,0.6,Combinado
   Saint Helena*,4.0,654,C,2010C,4.8,Combinado
   Senegal,0,686,B R,2010C,2.0,Combinado
   Sierra Leone,0,694,B R,2010C,1.2,Combinado
   Togo,0,768,C R,2010C,4.0,Combinado
 ASIA,0,935,0,2010C,1.6,Combinado
  Central Asia,0,5500,0,2010C,8.4,Combinado
   Kazakhstan,0,398,B R,2010C,20.5,Combinado
   Kyrgyzstan,0,417,B R,2010C,4.3,Combinado
   Tajikistan,0,762,B R,2010C,3.7,Combinado
   Turkmenistan,0,795,B R,2010C,3.9,Combinado
   Uzbekistan,0,860,B R,2010C,4.3,Combinado
  Eastern Asia,0,906,0,2010C,0.4,Combinado
   China*,0,156,C,2010C,0.1,Combinado
"   China, Hong Kong SAR*",0,344,B R,2010C,39.9,Combinado
"   China, Macao SAR*",0,446,B,2010C,59.2,Combinado
"   China, Taiwan Province of China*",0,158,0,2010C,0.0,Combinado
   Dem. People's Republic of Korea,0,408,I,2010C,0.2,Combinado
   Japan,0,392,C,2010C,1.7,Combinado
   Mongolia,0,496,C R,2010C,0.6,Combinado
   Republic of Korea,0,410,C R,2010C,1.9,Combinado
  South-Eastern Asia,0,920,0,2010C,1.5,Combinado
   Brunei Darussalam,0,96,B,2010C,25.9,Combinado
   Cambodia,0,116,B R,2010C,0.6,Combinado
   Indonesia,0,360,B R,2010C,0.1,Combinado
   Lao People's Democratic Republic,0,418,C R,2010C,0.5,Combinado
   Malaysia*,0,458,C R,2010C,8.6,Combinado
   Myanmar,0,104,C,2010C,0.2,Combinado
   Philippines,0,608,C R,2010C,0.2,Combinado
   Singapore,0,702,B,2010C,42.2,Combinado
   Thailand,0,764,B R,2010C,4.8,Combinado
   Timor-Leste,0,626,B R,2010C,1.1,Combinado
   Viet Nam,0,704,C R,2010C,0.1,Combinado
  Southern Asia,0,5501,0,2010C,0.8,Combinado
   Afghanistan,0,4,B R,2010C,0.4,Combinado
   Bangladesh,0,50,B R,2010C,0.9,Combinado
   Bhutan,0,64,B,2010C,7.1,Combinado
   India,0,356,B R,2010C,0.5,Combinado
   Iran (Islamic Republic of),0,364,C R,2010C,3.7,Combinado
   Maldives,0,462,C,2010C,14.9,Combinado
   Nepal,0,524,B R,2010C,2.2,Combinado
   Pakistan,0,586,B R,2010C,2.2,Combinado
   Sri Lanka,0,144,B R,2010C,0.2,Combinado
  Western Asia,0,922,0,2010C,13.2,Combinado
   Armenia,0,51,B R,2010C,7.3,Combinado
   Azerbaijan*,0,31,B R,2010C,3.1,Combinado
   Bahrain,0,48,C R,2010C,53.7,Combinado
   Cyprus*,0,196,B,2010C,16.9,Combinado
   Georgia*,0,268,B R,2010C,1.8,Combinado
   Iraq,0,368,C R,2010C,0.4,Combinado
   Israel,0,376,B R,2010C,26.6,Combinado
   Jordan,0,400,C R,2010C,38.4,Combinado
   Kuwait,0,414,C R,2010C,62.7,Combinado
   Lebanon,0,422,B R,2010C,16.0,Combinado
   Oman,0,512,C R,2010C,26.8,Combinado
   Qatar,0,634,C,2010C,78.5,Combinado
   Saudi Arabia,0,682,C R,2010C,30.7,Combinado
   State of Palestine*,5.0,275,B,2010C,6.8,Combinado
   Syrian Arab Republic,0,760,C R,2010C,8.3,Combinado
   Turkey,0,792,B R,2010C,1.9,Combinado
   United Arab Emirates,0,784,C R,2010C,85.6,Combinado
   Yemen,0,887,C R,2010C,1.2,Combinado
 EUROPE,0,908,0,2010C,9.6,Combinado
  Eastern Europe,0,923,0,2010C,6.5,Combinado
   Belarus,0,112,B,2010C,11.6,Combinado
   Bulgaria,0,100,B,2010C,1.0,Combinado
   Czechia,0,203,C,2010C,3.8,Combinado
   Hungary,0,348,B,2010C,4.4,Combinado
   Poland,0,616,B,2010C,1.7,Combinado
   Republic of Moldova*,0,498,B,2010C,3.2,Combinado
   Romania,0,642,B,2010C,0.9,Combinado
   Russian Federation,0,643,B,2010C,7.8,Combinado
   Slovakia,0,703,B,2010C,2.7,Combinado
   Ukraine*,0,804,B,2010C,10.5,Combinado
  Northern Europe,0,924,0,2010C,11.3,Combinado
   Channel Islands*,6.0,830,B,2010C,48.6,Combinado
   Denmark*,7.0,208,B,2010C,9.0,Combinado
   Estonia,0,233,B,2010C,16.4,Combinado
   Faroe Islands*,8.0,234,B,2010C,10.7,Combinado
   Finland*,0,246,B,2010C,4.3,Combinado
   Iceland,0,352,B,2010C,11.0,Combinado
   Ireland,0,372,B,2010C,16.0,Combinado
   Isle of Man*,9.0,833,B,2010C,51.2,Combinado
   Latvia,0,428,B,2010C,14.8,Combinado
   Lithuania,0,440,B,2010C,5.1,Combinado
   Norway*,0,578,B,2010C,10.7,Combinado
   Sweden,0,752,B,2010C,14.2,Combinado
   United Kingdom*,10.0,826,B,2010C,11.2,Combinado
  Southern Europe,0,925,0,2010C,10.6,Combinado
   Albania,0,8,B,2010C,1.8,Combinado
   Andorra,0,20,C,2010C,61.6,Combinado
   Bosnia and Herzegovina,0,70,I R,2010C,1.1,Combinado
   Croatia,0,191,B,2010C,13.2,Combinado
   Gibraltar*,11.0,292,B,2010C,30.9,Combinado
   Greece,0,300,B,2010C,12.1,Combinado
   Holy See*,0,336,I,2010C,100.0,Combinado
   Italy,0,380,B,2010C,9.8,Combinado
   Malta,0,470,B,2010C,8.0,Combinado
   Montenegro,0,499,B,2010C,12.6,Combinado
   North Macedonia,0,807,B,2010C,6.3,Combinado
   Portugal,0,620,B,2010C,7.2,Combinado
   San Marino,0,674,C,2010C,15.6,Combinado
   Serbia*,0,688,B,2010C,9.2,Combinado
   Slovenia,0,705,B,2010C,12.4,Combinado
   Spain*,0,724,B,2010C,13.4,Combinado
  Western Europe,0,926,0,2010C,12.8,Combinado
   Austria,0,40,B,2010C,15.2,Combinado
   Belgium,0,56,B,2010C,13.7,Combinado
   France*,12.0,250,B,2010C,11.6,Combinado
   Germany,0,276,B,2010C,12.1,Combinado
   Liechtenstein,0,438,B,2010C,62.1,Combinado
   Luxembourg,0,442,B,2010C,32.1,Combinado
   Monaco,0,492,B,2010C,59.3,Combinado
   Netherlands*,13.0,528,B,2010C,11.0,Combinado
   Switzerland,0,756,B,2010C,26.6,Combinado
 LATIN AMERICA AND THE CARIBBEAN,0,904,0,2010C,1.4,Combinado
  Caribbean,0,915,0,2010C,3.2,Combinado
   Anguilla*,14.0,660,B R,2010C,38.0,Combinado
   Antigua and Barbuda,0,28,B R,2010C,30.0,Combinado
   Aruba*,15.0,533,B R,2010C,33.8,Combinado
   Bahamas,0,44,B R,2010C,15.4,Combinado
   Barbados,0,52,B R,2010C,11.6,Combinado
"   Bonaire, Sint Eustatius and Saba*",16.0,535,B,2010C,100.0,Combinado
   British Virgin Islands*,18.0,92,B R,2010C,61.4,Combinado
   Cayman Islands*,19.0,136,C R,2010C,42.5,Combinado
   Cuba,0,192,B,2010C,0.1,Combinado
   Curaçao*,20.0,531,B R,2010C,23.2,Combinado
   Dominica,0,212,B,2010C,11.4,Combinado
   Dominican Republic,0,214,B R,2010C,4.1,Combinado
   Grenada,0,308,B,2010C,6.6,Combinado
   Guadeloupe*,21.0,312,B,2010C,23.4,Combinado
   Haiti,0,332,B R,2010C,0.2,Combinado
   Jamaica,0,388,B R,2010C,0.8,Combinado
   Martinique*,22.0,474,B R,2010C,15.1,Combinado
   Montserrat*,23.0,500,B,2010C,26.4,Combinado
   Puerto Rico*,24.0,630,B,2010C,8.5,Combinado
   Saint Barthélemy*,0,652,0,2010C,0.0,Combinado
   Saint Kitts and Nevis,0,659,B R,2010C,14.8,Combinado
   Saint Lucia,0,662,B R,2010C,5.2,Combinado
   Saint Martin (French part)*,0,663,0,2010C,0.0,Combinado
   Saint Vincent and the Grenadines,0,670,B R,2010C,4.2,Combinado
   Sint Maarten (Dutch part)*,25.0,534,B R,2010C,76.7,Combinado
   Trinidad and Tobago,0,780,B R,2010C,3.6,Combinado
   Turks and Caicos Islands*,26.0,796,B R,2010C,52.7,Combinado
   United States Virgin Islands*,27.0,850,B,2010C,53.4,Combinado
  Central America,0,916,0,2010C,1.1,Combinado
   Belize,0,84,B R ,2010C,14.4,Combinado
   Costa Rica,0,188,B R,2010C,8.9,Combinado
   El Salvador,0,222,B R,2010C,0.7,Combinado
   Guatemala,0,320,B R,2010C,0.5,Combinado
   Honduras,0,340,B R,2010C,0.3,Combinado
   Mexico,0,484,B R,2010C,0.8,Combinado
   Nicaragua,0,558,B R,2010C,0.6,Combinado
   Panama,0,591,B R,2010C,4.3,Combinado
  South America,0,931,0,2010C,1.3,Combinado
   Argentina,0,32,B R,2010C,4.4,Combinado
   Bolivia (Plurinational State of),0,68,B R,2010C,1.2,Combinado
   Brazil,0,76,B R,2010C,0.3,Combinado
   Chile,0,152,B,2010C,2.2,Combinado
   Colombia,0,170,B,2010C,0.3,Combinado
   Ecuador,0,218,B R,2010C,2.5,Combinado
   Falkland Islands (Malvinas)*,28.0,238,B,2010C,49.5,Combinado
   French Guiana*,29.0,254,B R,2010C,41.3,Combinado
   Guyana,0,328,B R,2010C,1.1,Combinado
   Paraguay,0,600,B R,2010C,2.6,Combinado
   Peru,0,604,B R,2010C,0.4,Combinado
   Suriname,0,740,C R,2010C,7.5,Combinado
   Uruguay,0,858,B R,2010C,2.3,Combinado
   Venezuela (Bolivarian Republic of),0,862,B R,2010C,4.7,Combinado
 NORTHERN AMERICA,0,905,0,2010C,14.8,Combinado
   Bermuda*,30.0,60,B,2010C,28.4,Combinado
   Canada,0,124,B,2010C,19.8,Combinado
   Greenland*,31.0,304,B,2010C,10.8,Combinado
   Saint Pierre and Miquelon*,32.0,666,B,2010C,16.0,Combinado
   United States of America*,33.0,840,B,2010C,14.3,Combinado
 OCEANIA ,0,909,0,2010C,19.3,Combinado
   Australia*,0,36,B,2010C,26.6,Combinado
   New Zealand*,34.0,554,B,2010C,21.7,Combinado
  Melanesia,0,928,0,2010C,1.2,Combinado
   Fiji,0,242,B R,2010C,1.6,Combinado
   New Caledonia*,0,540,B,2010C,24.1,Combinado
   Papua New Guinea,0,598,C R,2010C,0.4,Combinado
   Solomon Islands,0,90,B R,2010C,0.5,Combinado
   Vanuatu,0,548,B R,2010C,1.3,Combinado
  Micronesia,0,954,0,2010C,22.8,Combinado
   Guam*,35.0,316,B,2010C,47.3,Combinado
   Kiribati,0,296,B,2010C,2.8,Combinado
   Marshall Islands,0,584,B,2010C,5.5,Combinado
   Micronesia (Fed. States of),0,583,B,2010C,2.7,Combinado
   Nauru,0,520,C R,2010C,9.1,Combinado
   Northern Mariana Islands*,36.0,580,B,2010C,44.8,Combinado
   Palau,0,585,B,2010C,30.6,Combinado
  Polynesia*,0,957,0,2010C,11.1,Combinado
   American Samoa*,0,16,B,2010C,42.0,Combinado
   Cook Islands*,37.0,184,B R,2010C,20.5,Combinado
   French Polynesia*,38.0,258,B R,2010C,11.9,Combinado
   Niue*,39.0,570,B,2010C,36.3,Combinado
   Samoa,0,882,B R,2010C,2.8,Combinado
   Tokelau*,40.0,772,B R,2010C,99.9,Combinado
   Tonga,0,776,B R,2010C,4.4,Combinado
   Tuvalu,0,798,C,2010C,2.1,Combinado
   Wallis and Futuna Islands*,41.0,876,B R,2010C,16.6,Combinado
   Burundi,0,108,B R,2015C,2.9,Combinado
   Comoros,0,174,B,2015C,1.6,Combinado
   Djibouti,0,262,B R,2015C,12.3,Combinado
   Eritrea,0,232,I R,2015C,0.5,Combinado
   Ethiopia,0,231,B R,2015C,1.2,Combinado
   Kenya,0,404,B R,2015C,2.4,Combinado
   Madagascar,0,450,C R,2015C,0.1,Combinado
   Malawi,0,454,B R,2015C,1.2,Combinado
   Mauritius*,0,480,C,2015C,2.3,Combinado
   Mayotte*,1.0,175,B R,2015C,33.9,Combinado
   Mozambique,0,508,B R,2015C,1.2,Combinado
   Réunion*,2.0,638,B,2015C,14.7,Combinado
   Rwanda,0,646,B R,2015C,4.5,Combinado
   Seychelles,0,690,B,2015C,13.5,Combinado
   Somalia,0,706,I R,2015C,0.3,Combinado
   South Sudan,0,728,B R,2015C,7.9,Combinado
   Uganda,0,800,B R,2015C,2.2,Combinado
   United Republic of Tanzania*,0,834,B R,2015C,0.7,Combinado
   Zambia,0,894,B R,2015C,0.8,Combinado
   Zimbabwe,0,716,B R,2015C,2.9,Combinado
  Middle Africa,0,911,0,2015C,2.3,Combinado
   Angola,0,24,B R,2015C,2.3,Combinado
   Cameroon,0,120,B R,2015C,2.2,Combinado
   Central African Republic,0,140,C R,2015C,1.8,Combinado
   Chad,0,148,B R,2015C,3.3,Combinado
   Congo,0,178,B R,2015C,8.0,Combinado
   Democratic Republic of the Congo,0,180,B R,2015C,1.1,Combinado
   Equatorial Guinea,0,226,C,2015C,17.9,Combinado
   Gabon,0,266,C R,2015C,19.4,Combinado
   Sao Tome and Principe,0,678,C,2015C,1.2,Combinado
  Northern Africa,0,912,0,2015C,1.0,Combinado
   Algeria,0,12,B R,2015C,0.6,Combinado
   Egypt,0,818,B R,2015C,0.4,Combinado
   Libya,0,434,C R,2015C,12.0,Combinado
   Morocco,0,504,C R,2015C,0.3,Combinado
   Sudan,3.0,729,B R,2015C,1.6,Combinado
   Tunisia,0,788,C R,2015C,0.5,Combinado
   Western Sahara,0,732,I,2015C,1.0,Combinado
  Southern Africa,0,913,0,2015C,5.5,Combinado
   Botswana,0,72,B R,2015C,4.9,Combinado
   Eswatini,0,748,B R,2015C,2.9,Combinado
   Lesotho,0,426,C R,2015C,0.4,Combinado
   Namibia,0,516,B R,2015C,4.4,Combinado
   South Africa,0,710,B R,2015C,5.8,Combinado
  Western Africa,0,914,0,2015C,2.0,Combinado
   Benin,0,204,C B R,2015C,3.5,Combinado
   Burkina Faso,0,854,B R,2015C,3.9,Combinado
   Cabo Verde,0,132,B R,2015C,2.8,Combinado
   Côte d'Ivoire,0,384,C B R,2015C,10.6,Combinado
   Gambia,0,270,B R,2015C,9.2,Combinado
   Ghana,0,288,B R,2015C,1.5,Combinado
   Guinea,0,324,C B R,2015C,1.1,Combinado
   Guinea-Bissau,0,624,B R,2015C,1.3,Combinado
   Liberia,0,430,B R,2015C,2.5,Combinado
   Mali,0,466,B R,2015C,2.4,Combinado
   Mauritania,0,478,C R,2015C,4.1,Combinado
   Niger,0,562,B R,2015C,1.3,Combinado
   Nigeria,0,566,C R,2015C,0.7,Combinado
   Saint Helena*,4.0,654,C,2015C,6.4,Combinado
   Senegal,0,686,B R,2015C,1.8,Combinado
   Sierra Leone,0,694,B R,2015C,0.8,Combinado
   Togo,0,768,C R,2015C,3.8,Combinado
 ASIA,0,935,0,2015C,1.7,Combinado
  Central Asia,0,5500,0,2015C,7.9,Combinado
   Kazakhstan,0,398,B R,2015C,20.2,Combinado
   Kyrgyzstan,0,417,B R,2015C,3.4,Combinado
   Tajikistan,0,762,B R,2015C,3.3,Combinado
   Turkmenistan,0,795,B R,2015C,3.5,Combinado
   Uzbekistan,0,860,B R,2015C,3.8,Combinado
  Eastern Asia,0,906,0,2015C,0.5,Combinado
   China*,0,156,C,2015C,0.1,Combinado
"   China, Hong Kong SAR*",0,344,B R,2015C,39.5,Combinado
"   China, Macao SAR*",0,446,B,2015C,62.5,Combinado
"   China, Taiwan Province of China*",0,158,0,2015C,0.0,Combinado
   Dem. People's Republic of Korea,0,408,I,2015C,0.2,Combinado
   Japan,0,392,C,2015C,1.7,Combinado
   Mongolia,0,496,C R,2015C,0.7,Combinado
   Republic of Korea,0,410,C R,2015C,2.7,Combinado
  South-Eastern Asia,0,920,0,2015C,1.6,Combinado
   Brunei Darussalam,0,96,B,2015C,24.8,Combinado
   Cambodia,0,116,B R,2015C,0.5,Combinado
   Indonesia,0,360,B R,2015C,0.1,Combinado
   Lao People's Democratic Republic,0,418,C R,2015C,0.7,Combinado
   Malaysia*,0,458,C R,2015C,10.8,Combinado
   Myanmar,0,104,C,2015C,0.1,Combinado
   Philippines,0,608,C R,2015C,0.2,Combinado
   Singapore,0,702,B,2015C,44.4,Combinado
   Thailand,0,764,B R,2015C,5.1,Combinado
   Timor-Leste,0,626,B R,2015C,0.7,Combinado
   Viet Nam,0,704,C R,2015C,0.1,Combinado
  Southern Asia,0,5501,0,2015C,0.8,Combinado
   Afghanistan,0,4,B R,2015C,1.0,Combinado
   Bangladesh,0,50,B R,2015C,0.9,Combinado
   Bhutan,0,64,B,2015C,7.0,Combinado
   India,0,356,B R,2015C,0.4,Combinado
   Iran (Islamic Republic of),0,364,C R,2015C,3.5,Combinado
   Maldives,0,462,C,2015C,14.1,Combinado
   Nepal,0,524,B R,2015C,1.9,Combinado
   Pakistan,0,586,B R,2015C,1.8,Combinado
   Sri Lanka,0,144,B R,2015C,0.2,Combinado
  Western Asia,0,922,0,2015C,15.5,Combinado
   Armenia,0,51,B R,2015C,6.5,Combinado
   Azerbaijan*,0,31,B R,2015C,2.7,Combinado
   Bahrain,0,48,C R,2015C,52.7,Combinado
   Cyprus*,0,196,B,2015C,15.2,Combinado
   Georgia*,0,268,B R,2015C,1.9,Combinado
   Iraq,0,368,C R,2015C,1.0,Combinado
   Israel,0,376,B R,2015C,25.2,Combinado
   Jordan,0,400,C R,2015C,34.2,Combinado
   Kuwait,0,414,C R,2015C,74.7,Combinado
   Lebanon,0,422,B R,2015C,29.3,Combinado
   Oman,0,512,C R,2015C,43.5,Combinado
   Qatar,0,634,C,2015C,65.8,Combinado
   Saudi Arabia,0,682,C R,2015C,34.0,Combinado
   State of Palestine*,5.0,275,B,2015C,6.0,Combinado
   Syrian Arab Republic,0,760,C R,2015C,4.6,Combinado
   Turkey,0,792,B R,2015C,5.5,Combinado
   United Arab Emirates,0,784,C R,2015C,86.3,Combinado
   Yemen,0,887,C R,2015C,1.4,Combinado
 EUROPE,0,908,0,2015C,10.1,Combinado
  Eastern Europe,0,923,0,2015C,6.7,Combinado
   Belarus,0,112,B,2015C,11.5,Combinado
   Bulgaria,0,100,B,2015C,1.7,Combinado
   Czechia,0,203,C,2015C,3.9,Combinado
   Hungary,0,348,B,2015C,4.9,Combinado
   Poland,0,616,B,2015C,1.6,Combinado
   Republic of Moldova*,0,498,B,2015C,2.6,Combinado
   Romania,0,642,B,2015C,1.4,Combinado
   Russian Federation,0,643,B,2015C,8.0,Combinado
   Slovakia,0,703,B,2015C,3.3,Combinado
   Ukraine*,0,804,B,2015C,10.9,Combinado
  Northern Europe,0,924,0,2015C,12.7,Combinado
   Channel Islands*,6.0,830,B,2015C,49.8,Combinado
   Denmark*,7.0,208,B,2015C,10.5,Combinado
   Estonia,0,233,B,2015C,14.8,Combinado
   Faroe Islands*,8.0,234,B,2015C,11.4,Combinado
   Finland*,0,246,B,2015C,5.7,Combinado
   Iceland,0,352,B,2015C,11.8,Combinado
   Ireland,0,372,B,2015C,16.3,Combinado
   Isle of Man*,9.0,833,B,2015C,50.7,Combinado
   Latvia,0,428,B,2015C,13.3,Combinado
   Lithuania,0,440,B,2015C,4.6,Combinado
   Norway*,0,578,B,2015C,14.4,Combinado
   Sweden,0,752,B,2015C,16.4,Combinado
   United Kingdom*,10.0,826,B,2015C,12.8,Combinado
  Southern Europe,0,925,0,2015C,10.3,Combinado
   Albania,0,8,B,2015C,1.8,Combinado
   Andorra,0,20,C,2015C,54.2,Combinado
   Bosnia and Herzegovina,0,70,I R,2015C,1.1,Combinado
   Croatia,0,191,B,2015C,13.3,Combinado
   Gibraltar*,11.0,292,B,2015C,32.8,Combinado
   Greece,0,300,B,2015C,11.7,Combinado
   Holy See*,0,336,I,2015C,100.0,Combinado
   Italy,0,380,B,2015C,9.6,Combinado
   Malta,0,470,B,2015C,12.1,Combinado
   Montenegro,0,499,B,2015C,11.4,Combinado
   North Macedonia,0,807,B,2015C,6.3,Combinado
   Portugal,0,620,B,2015C,8.3,Combinado
   San Marino,0,674,C,2015C,15.6,Combinado
   Serbia*,0,688,B,2015C,9.1,Combinado
   Slovenia,0,705,B,2015C,11.5,Combinado
   Spain*,0,724,B,2015C,12.6,Combinado
  Western Europe,0,926,0,2015C,13.5,Combinado
   Austria,0,40,B,2015C,17.1,Combinado
   Belgium,0,56,B,2015C,15.8,Combinado
   France*,12.0,250,B,2015C,12.2,Combinado
   Germany,0,276,B,2015C,12.5,Combinado
   Liechtenstein,0,438,B,2015C,63.5,Combinado
   Luxembourg,0,442,B,2015C,43.9,Combinado
   Monaco,0,492,B,2015C,68.9,Combinado
   Netherlands*,13.0,528,B,2015C,11.8,Combinado
   Switzerland,0,756,B,2015C,27.2,Combinado
 LATIN AMERICA AND THE CARIBBEAN,0,904,0,2015C,1.5,Combinado
  Caribbean,0,915,0,2015C,3.5,Combinado
   Anguilla*,14.0,660,B R,2015C,38.3,Combinado
   Antigua and Barbuda,0,28,B R,2015C,30.0,Combinado
   Aruba*,15.0,533,B R,2015C,34.6,Combinado
   Bahamas,0,44,B R,2015C,15.8,Combinado
   Barbados,0,52,B R,2015C,12.1,Combinado
"   Bonaire, Sint Eustatius and Saba*",16.0,535,B,2015C,100.0,Combinado
   British Virgin Islands*,18.0,92,B R,2015C,67.0,Combinado
   Cayman Islands*,19.0,136,C R,2015C,42.4,Combinado
   Cuba,0,192,B,2015C,0.0,Combinado
   Curaçao*,20.0,531,B R,2015C,23.5,Combinado
   Dominica,0,212,B,2015C,11.4,Combinado
   Dominican Republic,0,214,B R,2015C,5.3,Combinado
   Grenada,0,308,B,2015C,6.4,Combinado
   Guadeloupe*,21.0,312,B,2015C,22.7,Combinado
   Haiti,0,332,B R,2015C,0.2,Combinado
   Jamaica,0,388,B R,2015C,0.8,Combinado
   Martinique*,22.0,474,B R,2015C,18.3,Combinado
   Montserrat*,23.0,500,B,2015C,27.2,Combinado
   Puerto Rico*,24.0,630,B,2015C,8.3,Combinado
   Saint Barthélemy*,0,652,0,2015C,0.0,Combinado
   Saint Kitts and Nevis,0,659,B R,2015C,14.5,Combinado
   Saint Lucia,0,662,B R,2015C,4.8,Combinado
   Saint Martin (French part)*,0,663,0,2015C,0.0,Combinado
   Saint Vincent and the Grenadines,0,670,B R,2015C,4.2,Combinado
   Sint Maarten (Dutch part)*,25.0,534,B R,2015C,68.3,Combinado
   Trinidad and Tobago,0,780,B R,2015C,3.7,Combinado
   Turks and Caicos Islands*,26.0,796,B R,2015C,63.2,Combinado
   United States Virgin Islands*,27.0,850,B,2015C,54.0,Combinado
  Central America,0,916,0,2015C,1.1,Combinado
   Belize,0,84,B R ,2015C,15.1,Combinado
   Costa Rica,0,188,B R,2015C,8.5,Combinado
   El Salvador,0,222,B R,2015C,0.7,Combinado
   Guatemala,0,320,B R,2015C,0.5,Combinado
   Honduras,0,340,B R,2015C,0.4,Combinado
   Mexico,0,484,B R,2015C,0.8,Combinado
   Nicaragua,0,558,B R,2015C,0.6,Combinado
   Panama,0,591,B R,2015C,4.7,Combinado
  South America,0,931,0,2015C,1.5,Combinado
   Argentina,0,32,B R,2015C,4.8,Combinado
   Bolivia (Plurinational State of),0,68,B R,2015C,1.3,Combinado
   Brazil,0,76,B R,2015C,0.3,Combinado
   Chile,0,152,B,2015C,3.6,Combinado
   Colombia,0,170,B,2015C,0.3,Combinado
   Ecuador,0,218,B R,2015C,2.4,Combinado
   Falkland Islands (Malvinas)*,28.0,238,B,2015C,55.4,Combinado
   French Guiana*,29.0,254,B R,2015C,40.7,Combinado
   Guyana,0,328,B R,2015C,1.1,Combinado
   Paraguay,0,600,B R,2015C,2.3,Combinado
   Peru,0,604,B R,2015C,0.5,Combinado
   Suriname,0,740,C R,2015C,7.7,Combinado
   Uruguay,0,858,B R,2015C,2.3,Combinado
   Venezuela (Bolivarian Republic of),0,862,B R,2015C,4.7,Combinado
 NORTHERN AMERICA,0,905,0,2015C,15.6,Combinado
   Bermuda*,30.0,60,B,2015C,30.2,Combinado
   Canada,0,124,B,2015C,20.6,Combinado
   Greenland*,31.0,304,B,2015C,10.7,Combinado
   Saint Pierre and Miquelon*,32.0,666,B,2015C,16.5,Combinado
   United States of America*,33.0,840,B,2015C,15.0,Combinado
 OCEANIA ,0,909,0,2015C,20.3,Combinado
   Australia*,0,36,B,2015C,28.1,Combinado
   New Zealand*,34.0,554,B,2015C,22.5,Combinado
  Melanesia,0,928,0,2015C,1.2,Combinado
   Fiji,0,242,B R,2015C,1.6,Combinado
   New Caledonia*,0,540,B,2015C,25.4,Combinado
   Papua New Guinea,0,598,C R,2015C,0.4,Combinado
   Solomon Islands,0,90,B R,2015C,0.4,Combinado
   Vanuatu,0,548,B R,2015C,1.2,Combinado
  Micronesia,0,954,0,2015C,21.7,Combinado
   Guam*,35.0,316,B,2015C,47.0,Combinado
   Kiribati,0,296,B,2015C,2.6,Combinado
   Marshall Islands,0,584,B,2015C,5.7,Combinado
   Micronesia (Fed. States of),0,583,B,2015C,2.5,Combinado
   Nauru,0,520,C R,2015C,17.7,Combinado
   Northern Mariana Islands*,36.0,580,B,2015C,38.8,Combinado
